micro_hab_data_tbl_id,p_dat_id,t_code,depth,velocity,percent_fine_substrate,percent_sand_substrate,percent_small_gravel_substrate,percent_large_gravel_substrate,percent_cobble_substrate,percent_boulder_substrate,percent_no_cover_inchannel,percent_small_woody_cover_inchannel,percent_large_woody_cover_inchannel,percent_submerged_aquatic_veg_inchannel,percent_undercut_bank,percent_no_cover_overhead,percent_cover_half_meter_overhead,percent_cover_more_than_half_meter_overhead,sur_turb,vel_clicks,adj_vel,fish_data_id,count,fl_mm,water_depth,dist_to_bottom,focal_velocity,av_vel,substrate,i_cov_code,o_cover_code_id,x_surf_turb,fish_in_tran,focal_clicks,adj_focal_vel,av_vel_clicks,adj_av_vel,species,location,date,water_temp,river_mile,flow,number_of_divers,reach_length,reach_width,channel_width,gps_coordinate,weather,channel_type,channel_geomorphic_unit
18,11,0.1,17,0.22,0,40,20,30,10,0,75,15,0,10,0,100,0,0,20,NA,NA,21,2,35,NA,1,0.94,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
18,11,0.1,17,0.22,0,40,20,30,10,0,75,15,0,10,0,100,0,0,20,NA,NA,22,3,35,NA,1.5,0.16,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
18,11,0.1,17,0.22,0,40,20,30,10,0,75,15,0,10,0,100,0,0,20,NA,NA,23,1,25,NA,1.5,0.16,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
19,11,0.2,19,0.35,0,50,40,10,0,0,100,0,0,0,0,100,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
20,11,0.3,11,1.95,0,25,75,0,0,0,100,0,0,0,0,100,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
21,11,0.4,12,2.14,0,0,80,20,0,0,100,0,0,0,0,100,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
22,11,3.1,11,1.19,0,70,30,0,0,0,10,20,40,30,0,100,0,0,10,NA,NA,25,3,25,NA,1,0.18000001,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Steelhead trout (wild),hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide Edgewater
23,11,3.2,10,1.54,0,30,50,20,0,0,100,0,0,0,0,100,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
24,11,3.3,8,1.26,0,0,60,40,0,0,100,0,0,0,0,100,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
25,11,3.4,9,1.97,0,0,70,30,0,0,100,0,0,0,0,100,0,0,10,NA,NA,11,1,40,NA,0.5,0.50999999,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Chinook salmon,hatchery ditch,2001-03-14,47,66.6,12,3,25,4,7,,Direct Sunlight,Sidechannel,Glide
