SurveyID,Date,Location,Unit,Species,Number,MinFL,MaxFL,Depth,FishDepth,HUCsubstrate,HUCcover,HUCunit,Velocity,BankDistance,AvgFL,Ocov
8,1999-06-29,Eye Riffle,216,RBTS,1,100,100,0.44999999,0.34999999,2,A,R,2.44,NA,100,0
8,1999-06-29,Eye Riffle,216,RBTS,1,80,80,0.37,0.27000001,1,A,RM,0.37,NA,80,0
8,1999-06-29,Eye Riffle,215A,RBTS,1,80,80,0.33000001,0.15000001,1,b,G,0.8,NA,80,1
8,1999-06-29,Eye Riffle,215A,RBTS,1,200,200,0.56,0.55000001,2,A,R,1.31,NA,200,0
8,1999-06-29,Eye Riffle,215A,RBTS,1,180,180,0.60000002,0.55000001,2,A,R,1.74,NA,180,0
8,1999-06-29,Eye Riffle,215A,RBTS,2,110,110,0.41,0.34999999,2,A,R,1.75,NA,110,0
8,1999-06-29,Eye Riffle,215A,RBTS,2,200,200,0.47999999,0.44999999,1,A,GM,1.46,NA,200,0
8,1999-06-29,Eye Riffle,215A,RBTS,4,80,90,0.44999999,0.25,2,A,GM,1.21,NA,85,0
8,1999-06-29,Eye Riffle,215B,RBTS,1,65,65,0.72000003,0.64999998,3,A,R,2.51,NA,65,0
8,1999-06-29,Eye Riffle,215B,RBTS,1,120,120,0.47,0.40000001,3,A,R,3.08,NA,120,0
8,1999-06-29,Eye Riffle,215B,RBTS,1,60,60,0.41,0.34999999,3,A,R,1.64,NA,60,0
8,1999-06-29,Eye Riffle,215B,RBTS,4,95,105,0.44999999,0.40000001,3,A,R,0.8,NA,100,0
8,1999-06-29,Eye Riffle,217,RBTS,1,95,95,0.30000001,0.25,1,a,R,1.93,NA,95,1
8,1999-06-29,Eye Riffle,217,CHNF,4,100,120,0.25,0.22,1,A,R,0,NA,110,0
8,1999-06-29,Eye Riffle,210,CHNF,2,100,100,1,0.69999999,1,b,G,1.2,NA,100,1
8,1999-06-29,Eye Riffle,217,CHNF,1,105,105,0.44,0.38999999,2,A,G,1.28,NA,105,0
8,1999-06-29,Eye Riffle,217,RBTS,2,110,110,0.44,0.38999999,2,A,G,1.28,NA,110,0
8,1999-06-29,Eye Riffle,217,SASU,3,80,85,0.44,0.43000001,2,A,G,1.28,NA,82,0
8,1999-06-29,Eye Riffle,217,RBTS,1,125,125,0.36000001,0.31,2,b,R,2.85,NA,125,1
8,1999-06-29,Eye Riffle,215B,RBTS,2,110,120,0.44999999,0.40000001,3,A,R,0.9,NA,115,0
8,1999-06-29,Eye Riffle,215B,RBTS,1,150,150,0.44999999,0.40000001,3,A,R,0.9,NA,150,0
8,1999-06-29,Eye Riffle,215B,RBTS,1,75,75,0.44999999,0.40000001,3,A,R,0.9,NA,75,0
8,1999-06-29,Eye Riffle,215B,RBTS,2,100,110,0.41,0.34999999,3,A,R,1.64,NA,105,0
8,1999-06-29,Eye Riffle,215B,RBTS,2,150,160,0.47,0.40000001,3,A,R,3.08,NA,155,0
8,1999-06-29,Eye Riffle,215B,RBTS,1,80,80,0.72000003,0.64999998,3,A,R,2.51,NA,80,0
8,1999-06-29,Eye Riffle,215A,RBTS,1,85,85,0.60000002,0.55000001,2,A,R,1.74,NA,85,0
2,1999-06-30,East Channel G95 Lower Section,337,RBTS,2,85,90,0.50999999,0.44999999,3,A,GM,0.5,NA,88,0
2,1999-06-30,East Channel G95 Lower Section,337,RBTS,3,95,105,0.5,0.44999999,3,A,RM,2,NA,100,0
2,1999-06-30,East Channel G95 Lower Section,335,RBTS,1,110,110,0.63,0.57999998,2,A,G,2.49,NA,110,0
2,1999-06-30,East Channel G95 Lower Section,335,RBTS,1,90,90,0.57999998,0.52999997,1,A,G,2.48,NA,90,0
2,1999-06-30,East Channel G95 Lower Section,335,RBTS,1,95,95,0.54000002,0.5,1,A,G,3.85,NA,95,0
2,1999-06-30,East Channel G95 Lower Section,335,RBTS,1,115,115,0.67000002,0.62,2,A,GM,2.65,NA,115,0
2,1999-06-30,East Channel G95 Lower Section,335,RBTS,1,110,110,0.56,0.50999999,2,A,GM,3.81,NA,110,0
2,1999-06-30,East Channel G95 Lower Section,335,RBTS,1,115,115,0.38999999,0.34,2,A,R,3.25,NA,115,0
3,1999-06-30,G95,323B,RBTS,1,110,110,0.44999999,0.40000001,3,A,R,2.25,NA,110,0
3,1999-06-30,G95,323A,RBTS,1,90,90,0.5,0.44999999,1,A,R,2.05,NA,90,0
8,1999-06-29,Eye Riffle,210,RBTS,1,200,200,0.33000001,0.30000001,2,B,R,2.44,NA,200,0
8,1999-06-29,Eye Riffle,210,RBTS,1,110,110,0.67000002,0.60000002,2,c,RM,2.74,NA,110,1
8,1999-06-29,Eye Riffle,210,RBTS,1,200,200,0.87,0.80000001,2,c,RM,3.59,NA,200,1
8,1999-06-29,Eye Riffle,210,RBTS,1,100,100,0.28,0.22,2,A,G,1.4,NA,100,0
8,1999-06-29,Eye Riffle,210,RBTS,1,135,135,0.46000001,0.44,1,A,G,1.47,NA,135,1
8,1999-06-29,Eye Riffle,210,RBTS,1,135,135,0.44,0.40000001,2,A,G,2,NA,135,1
8,1999-06-29,Eye Riffle,210,RBT,1,0,0,0.52999997,0.40000001,1,b,G,1.3,NA,0,1
8,1999-06-29,Eye Riffle,217,RBTS,1,90,90,0.40000001,0.40000001,2,b,R,2.85,NA,90,1
8,1999-06-29,Eye Riffle,217,CHNF,2,70,70,0.44,0.38999999,2,A,G,1.28,NA,70,0
8,1999-06-29,Eye Riffle,217,RBTS,1,130,130,0.18000001,0.15000001,2,B,R,2.46,NA,130,0
8,1999-06-29,Eye Riffle,217,RBTS,2,65,75,0.23,0.18000001,2,A,R,3.47,NA,70,0
8,1999-06-29,Eye Riffle,217,RBTS,1,115,115,0.40000001,0.2,2,A,G,0.88,NA,115,0
8,1999-06-29,Eye Riffle,215B,RBTS,1,100,100,0.67000002,0.60000002,3,a,R,4.37,NA,100,1
8,1999-06-29,Eye Riffle,215A,RBTS,1,110,110,0.31,0.2,2,A,R,1.88,NA,110,0
9,1999-06-29,Lower Eye-Pool,220,C,1,600,600,0.60000002,0.2,1,A,P,0,0,600,0
9,1999-06-29,Lower Eye-Pool,220,WAG,3,40,50,1,0.60000002,4,A,P,0,0,45,0
10,1999-06-28,ROBINSON RIFFLE,173,RBTS,3,150,150,0.69,0.60000002,3,A,R,1.58,NA,150,0
10,1999-06-28,ROBINSON RIFFLE,173,RBTS,3,120,120,0.52999997,0.44999999,3,A,R,2.21,NA,120,0
10,1999-06-28,ROBINSON RIFFLE,173,RBT,1,400,420,0.72000003,0.64999998,3,a,R,2.81,NA,410,1
