PhysDataTblID,Location,Date,RiverMile,SpeciesCode,Count,FL..mm.,DistToBottom,Focal.Velocity,TCode,Depth,Velocity,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,IcovA,IcovB,IcovC,IcovE,IcovF,Ocov0,Ocov1,Ocov2,SurTurb,CGU,Distance,FishAge,SpecAge
11,hatchery ditch,2001-03-14,66.6,CHN,1,40,5,0.50999999,3.4,9,1.97,0,0,70,30,0,0,100,0,0,0,0,100,0,0,10,g,4,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,1,25,1,0.63999999,6.4,37,0.91,0,65,25,10,0,0,100,0,0,0,0,100,0,0,30,g,4,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,50,40,5,1.08,6.4,37,0.91,0,65,25,10,0,0,100,0,0,0,0,100,0,0,30,g,4,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,6,75,5,0.80000001,6.4,37,0.91,0,65,25,10,0,0,100,0,0,0,0,100,0,0,30,g,4,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,3,25,1,0.44,9.4,15,2.17,0,10,90,0,0,0,100,0,0,0,0,100,0,0,20,g,4,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,8,50,1,0.18000001,12.4,19,1.01,0,40,60,0,0,0,100,0,0,0,0,100,0,0,30,g,4,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,15,40,1,0.5,12.4,19,1.01,0,40,60,0,0,0,100,0,0,0,0,100,0,0,30,g,4,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,2,25,1,0.5,12.4,19,1.01,0,40,60,0,0,0,100,0,0,0,0,100,0,0,30,g,4,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,5,45,1,0.5,18.4,23,0.78,0,15,70,15,0,0,100,0,0,0,0,100,0,0,10,g,4,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,75,45,5,0.37,24.4,13,1.88,0,0,85,15,0,0,90,0,0,10,0,100,0,0,10,g,4,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,2,35,1,0.94,0.1,17,0.22,0,40,20,30,10,0,75,15,0,10,0,100,0,0,20,g,1,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,3,35,1.5,0.16,0.1,17,0.22,0,40,20,30,10,0,75,15,0,10,0,100,0,0,20,g,1,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,1,25,1.5,0.16,0.1,17,0.22,0,40,20,30,10,0,75,15,0,10,0,100,0,0,20,g,1,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,2,35,0.5,0.73000002,6.3,19,0.75,0,30,50,20,0,0,100,0,0,0,0,100,0,0,20,g,3,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,3,25,1,0.18000001,3.1,11,1.19,0,70,30,0,0,0,10,20,40,30,0,100,0,0,10,g,1,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,10,40,1.5,0.94,6.4,37,0.91,0,65,25,10,0,0,100,0,0,0,0,100,0,0,30,g,4,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,20,35,1.5,0.94,6.4,37,0.91,0,65,25,10,0,0,100,0,0,0,0,100,0,0,30,g,4,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,20,25,0.5,0.75,6.1,10,0.75,40,0,40,20,0,0,50,10,0,40,0,75,25,0,0,g,1,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,25,35,1.5,1.42,6.2,19,0.89,0,60,30,10,0,0,100,0,0,0,0,100,0,0,10,g,2,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,2,50,1.5,1.42,6.2,19,0.89,0,60,30,10,0,0,100,0,0,0,0,100,0,0,10,g,2,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,35,25,1.5,0,9.1,16,0.18,0,80,20,0,0,0,90,10,0,0,0,50,50,0,0,g,1,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,250,35,1.5,0,9.1,16,0.18,0,80,20,0,0,0,90,10,0,0,0,50,50,0,0,g,1,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,10,25,1.5,0,12.1,3,0,15,0,25,60,0,0,40,40,0,0,20,100,0,0,0,g,1,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,100,35,2,0.51999998,15.1,28,0.37,0,60,20,20,0,0,90,10,0,0,0,100,0,0,10,g,1,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,150,35,0.5,0.40000001,18.3,18,1,0,20,80,0,0,0,100,0,0,0,0,100,0,0,0,g,3,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,100,40,1,0.75,21.3,17,0.75,0,20,60,20,0,0,100,0,0,0,0,100,0,0,15,g,3,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,150,45,1,0.75,21.3,17,0.75,0,20,60,20,0,0,100,0,0,0,0,100,0,0,15,g,3,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,125,45,1,0,18.1,11,0.44,0,90,0,10,0,0,70,15,NA,15,0,85,15,0,0,g,1,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,10,25,1,0,18.1,11,0.44,0,90,0,10,0,0,70,15,NA,15,0,85,15,0,0,g,1,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,1,30,1,1.05,24.4,13,1.88,0,0,85,15,0,0,90,0,0,10,0,100,0,0,10,g,4,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,1,35,1,0.98000002,24.4,13,1.88,0,0,85,15,0,0,90,0,0,10,0,100,0,0,10,g,4,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,5,25,1,0,21.1,8,0.32,0,25,60,15,0,0,100,0,0,0,0,65,35,0,0,g,1,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,100,35,1.5,0,21.1,8,0.32,0,25,60,15,0,0,100,0,0,0,0,65,35,0,0,g,1,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,11,25,1.5,0,21.1,8,0.32,0,25,60,15,0,0,100,0,0,0,0,65,35,0,0,g,1,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,75,40,1.5,0.23999999,24.1,23,0.37,0,30,30,40,0,0,80,0,0,0,20,0,30,70,0,g,1,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,45,40,1.5,0.47,24.1,23,0.37,0,30,30,40,0,0,80,0,0,0,20,0,30,70,0,g,1,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,4,55,1.5,0.47,24.1,23,0.37,0,30,30,40,0,0,80,0,0,0,20,0,30,70,0,g,1,0,chn0
11,hatchery ditch,2001-03-14,66.6,CHN,50,40,1,1.36,24.1,23,0.37,0,30,30,40,0,0,80,0,0,0,20,0,30,70,0,g,1,0,chn0
11,hatchery ditch,2001-03-14,66.6,RBTS,2,25,1,1.36,24.1,23,0.37,0,30,30,40,0,0,80,0,0,0,20,0,30,70,0,g,1,0,rbt0
11,hatchery ditch,2001-03-14,66.6,RBTS,2,25,1,0,12.1,3,0,15,0,25,60,0,0,40,40,0,0,20,100,0,0,0,g,1,0,rbt0
11,hatchery ditch,2001-03-14,66.6,CHN,100,35,1,0,15.4,9,1.6,0,30,60,10,0,0,100,0,0,0,0,100,0,0,20,g,4,0,chn0
12,Hour Bar,2001-03-15,56,RBTS,1,25,5,0,6.1,6,0,0,0,80,20,0,0,60,0,0,40,0,40,60,0,0,g,1,0,rbt0
12,Hour Bar,2001-03-15,56,CHN,20,40,10,0,6.3,22,0,0,0,0,75,25,0,85,0,0,15,0,100,0,0,0,g,3,0,chn0
12,Hour Bar,2001-03-15,56,CHN,350,40,5,0.2,12.4,50,0,0,20,70,10,0,0,0,70,0,30,0,30,0,70,0,g,4,0,chn0
12,Hour Bar,2001-03-15,56,CHN,300,40,20,0,15.2,41,0,20,80,0,0,0,0,20,10,10,60,0,80,0,20,0,g,2,0,chn0
12,Hour Bar,2001-03-15,56,RBTS,1,25,20,0,15.2,41,0,20,80,0,0,0,0,20,10,10,60,0,80,0,20,0,g,2,0,rbt0
