PDatID,CanopyCoverID,Canopy1,Canopy2,Canopy3,Canopy4,Canopy5,Canopy6,Canopy7,Canopy8,Canopy9
11,1,79,66,68,48,32,64,88,48,68
13,2,4,25,66,100,75,19,20,29,50
14,3,100,100,80,75,84,48,50,70,100
15,4,0,0,0,0,0,0,0,0,0
18,5,0,0,0,0,0,0,0,0,0
19,6,0,0,0,0,0,0,0,50,80
20,7,100,25,85,100,100,0,10,40,0
21,8,0,84,40,4,24,20,100,24,4
22,9,0,0,0,0,0,0,0,0,0
17,10,0,0,0,0,0,80,0,0,0
35,11,100,100,100,100,100,95,85,100,100
36,12,18,22,17,24,40,42,78,46,49
38,13,46,80,20,0,0,17,0,16,0
40,14,0,3,0,0,0,0,0,0,100
41,15,0,0,0,0,0,6,7,10,2
43,16,0,45,5,100,90,15,10,0,0
44,17,10,44,2,0,0,0,0,0,0
53,18,100,98,90,88,72,42,76,100,100
54,19,0,4,2,3,0,1,2,3,20
56,20,24,84,80,76,34,100,100,16,56
57,21,20,0,0,0,0,0,0,0,0
58,22,0,0,0,0,0,0,0,0,0
60,23,95,60,20,35,30,15,65,90,97
61,24,0,0,0,5,0,8,0,2,2
62,25,0,60,82,100,0,2,0,0,0
64,26,0,0,0,3,86,0,0,0,22
65,27,0,0,0,0,0,36,5,0,0
66,28,1,30,4,0,0,0,4,0,0
70,29,100,100,100,100,100,82,100,100,55
71,30,45,10,10,12,37,10,6,4,98
72,31,32,36,83,80,90,15,5,18,94
73,32,0,0,0,0,0,15,30,24,26
76,33,10,50,100,100,100,100,100,100,100
77,34,24,0,0,18,8,24,60,0,80
78,35,43,55,100,42,40,94,91,0,56
79,36,100,72,70,3,92,100,100,100,58
80,37,0,0,0,0,5,2,0,0,2
84,38,2,0,0,0,4,0,0,0,0
90,39,6,3,2,1,0,0,35,15,0
92,40,1,0,0,0,0,0,0,0,0
96,41,0,12,8,8,12,12,100,64,8
97,42,100,0,0,4,0,12,8,14,20
106,43,16,54,31,88,26,20,48,70,0
109,44,10,20,4,25,100,10,20,4,25
110,45,0,0,0,0,4,0,0,0,5
111,46,22,5,25,60,85,65,48,44,32
112,47,0,0,0,0,100,0,0,0,0
116,48,3,0,0,0,0,0,0,0,0
118,49,0,0,0,0,100,100,78,100,88
120,50,28,0,0,0,0,0,0,100,100
121,51,3,6,15,100,0,0,0,10,0
122,52,28,24,0,18,20,0,6,3,100
124,53,5,0,0,0,0,0,100,12,88
125,54,88,92,100,20,20,100,0,0,0
127,55,0,0,0,0,0,4,100,100,5
131,56,0,0,8,74,60,100,8,0,0
132,57,20,0,0,0,0,0,0,0,0
133,58,0,0,0,85,100,100,100,100,100
135,59,18,9,8,0,4,7,0,16,0
137,60,0,0,20,30,12,0,4,0,0
138,61,0,20,100,100,100,100,0,100,100
139,62,25,22,19,16,13,10,7,4,1
140,63,0,0,0,5,100,100,0,0,15
142,64,0,0,0,0,100,100,100,100,0
143,65,100,90,15,100,100,30,25,65,95
144,66,63,100,100,74,83,0,7,5,8
145,67,0,0,0,0,0,0,0,100,0
