PDatID,FishDataID,Species,Count,FL..mm.,DistToBottom,Focal.Velocity,TCode
11,11,3,1,40,5,0.50999999,3.4
11,12,1,1,25,1,0.63999999,6.4
11,13,3,50,40,5,1.08,6.4
11,14,3,6,75,5,0.80000001,6.4
11,15,1,3,25,1,0.44,9.4
11,16,3,8,50,1,0.18000001,12.4
11,17,3,15,40,1,0.5,12.4
11,18,1,2,25,1,0.5,12.4
11,19,3,5,45,1,0.5,18.4
11,20,3,75,45,5,0.37,24.4
11,21,3,2,35,1,0.94,0.1
11,22,3,3,35,1.5,0.16,0.1
11,23,1,1,25,1.5,0.16,0.1
11,24,3,2,35,0.5,0.73000002,6.3
11,25,1,3,25,1,0.18000001,3.1
11,26,3,10,40,1.5,0.94,6.4
11,27,3,20,35,1.5,0.94,6.4
11,28,1,20,25,0.5,0.75,6.1
11,29,3,25,35,1.5,1.42,6.2
11,30,3,2,50,1.5,1.42,6.2
11,31,1,35,25,1.5,0,9.1
11,32,3,250,35,1.5,0,9.1
11,33,1,10,25,1.5,0,12.1
11,34,3,100,35,2,0.51999998,15.1
11,35,3,150,35,0.5,0.40000001,18.3
11,36,3,100,40,1,0.75,21.3
11,37,3,150,45,1,0.75,21.3
11,38,3,125,45,1,0,18.1
11,39,1,10,25,1,0,18.1
11,40,3,1,30,1,1.05,24.4
11,41,3,1,35,1,0.98000002,24.4
11,42,1,5,25,1,0,21.1
11,43,3,100,35,1.5,0,21.1
11,44,1,11,25,1.5,0,21.1
11,45,3,75,40,1.5,0.23999999,24.1
11,46,3,45,40,1.5,0.47,24.1
11,47,3,4,55,1.5,0.47,24.1
11,48,3,50,40,1,1.36,24.1
11,49,1,2,25,1,1.36,24.1
11,50,1,2,25,1,0,12.1
11,51,3,100,35,1,0,15.4
12,52,1,1,25,5,0,6.1
12,53,3,20,40,10,0,6.3
12,54,3,350,40,5,0.2,12.4
12,55,3,300,40,20,0,15.2
12,56,1,1,25,20,0,15.2
12,57,3,50,40,5,0,24.1
13,58,NA,0,0,0,0,0
14,59,1,1,60,4,1.98,0.3
14,60,1,10,65,4,0.75,12.4
14,61,3,7,80,4,0.75,12.4
14,62,1,3,50,5,1.27,18.4
14,63,1,1,80,4,1.27,18.4
14,64,1,1,45,5,0,21.1
18,65,1,1,220,3,3.2,18.4
19,66,1,1,180,3,1.41,6.4
