PDatID,FishDataID,Species,Count,FL..mm.,WaterDepth,DistToBottom,Focal.Velocity,AvVel,Substrate,I.CovCode,OCoverCodeID,X.SurfTurb,TCode,FishInTran,FocalClicks,AdjFocalVel,AvVelClicks,AdjAvVel
11,11,3,1,40,NA,0.5,0.50999999,NA,NA,NA,NA,NA,3.4,0,NA,NA,NA,NA
11,12,1,1,25,NA,0.1,0.63999999,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
11,13,3,50,40,NA,0.5,1.08,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
11,14,3,6,75,NA,0.5,0.80000001,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
11,15,1,3,25,NA,0.1,0.44,NA,NA,NA,NA,NA,9.4,0,NA,NA,NA,NA
11,16,3,8,50,NA,0.1,0.18000001,NA,NA,NA,NA,NA,12.4,0,NA,NA,NA,NA
11,17,3,15,40,NA,0.1,0.5,NA,NA,NA,NA,NA,12.4,0,NA,NA,NA,NA
11,18,1,2,25,NA,0.1,0.5,NA,NA,NA,NA,NA,12.4,0,NA,NA,NA,NA
11,19,3,5,45,NA,0.1,0.5,NA,NA,NA,NA,NA,18.4,0,NA,NA,NA,NA
11,20,3,75,45,NA,0.5,0.37,NA,NA,NA,NA,NA,24.4,0,NA,NA,NA,NA
11,21,3,2,35,NA,1,0.94,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,NA
11,22,3,3,35,NA,1.5,0.16,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,NA
11,23,1,1,25,NA,1.5,0.16,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,NA
11,24,3,2,35,NA,0.5,0.73000002,NA,NA,NA,NA,NA,6.3,0,NA,NA,NA,NA
11,25,1,3,25,NA,1,0.18000001,NA,NA,NA,NA,NA,3.1,0,NA,NA,NA,NA
11,26,3,10,40,NA,1.5,0.94,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
11,27,3,20,35,NA,1.5,0.94,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
11,28,1,20,25,NA,0.5,0.75,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
11,29,3,25,35,NA,1.5,1.42,NA,NA,NA,NA,NA,6.2,0,NA,NA,NA,NA
11,30,3,2,50,NA,1.5,1.42,NA,NA,NA,NA,NA,6.2,0,NA,NA,NA,NA
11,31,1,35,25,NA,1.5,0,NA,NA,NA,NA,NA,9.1,0,NA,NA,NA,NA
11,32,3,250,35,NA,1.5,0,NA,NA,NA,NA,NA,9.1,0,NA,NA,NA,NA
11,33,1,10,25,NA,1.5,0,NA,NA,NA,NA,NA,12.1,0,NA,NA,NA,NA
11,34,3,100,35,NA,2,0.51999998,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
11,35,3,150,35,NA,0.5,0.40000001,NA,NA,NA,NA,NA,18.3,0,NA,NA,NA,NA
11,36,3,100,40,NA,1,0.75,NA,NA,NA,NA,NA,21.3,0,NA,NA,NA,NA
11,37,3,150,45,NA,1,0.75,NA,NA,NA,NA,NA,21.3,0,NA,NA,NA,NA
11,38,3,125,45,NA,1,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
11,39,1,10,25,NA,1,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
11,40,3,1,30,NA,1,1.05,NA,NA,NA,NA,NA,24.4,0,NA,NA,NA,NA
11,41,3,1,35,NA,1,0.98000002,NA,NA,NA,NA,NA,24.4,0,NA,NA,NA,NA
11,42,1,5,25,NA,1,0,NA,NA,NA,NA,NA,21.1,0,NA,NA,NA,NA
11,43,3,100,35,NA,1.5,0,NA,NA,NA,NA,NA,21.1,0,NA,NA,NA,NA
11,44,1,11,25,NA,1.5,0,NA,NA,NA,NA,NA,21.1,0,NA,NA,NA,NA
