PhysDataTblID,Location,Date,StartTime,EndTime,Crew,WaterTemp,Weather,RiverMile,Flow,NumberOfDivers,ReachLength,ReachWidth,ChannelType,ChannelWidth,GPS.Coordinate
92,Herringer Riffle,2001-05-24,(12/30/99 13:35:00),(12/30/99 13:50:00),"do,ph, at",0,1,46,2000,3,25,4,1,96,N 39° 19.14 W 121° 37.22'
93,Herringer Riffle,2001-08-23,(12/30/99 13:10:00),(NA NA),"BR, CR, TV",70,1,0,0,2,25,4,0,115,"N 39°19.068"" W 121°37.256"
94,Shallow Riffle,2001-08-22,(12/30/99 12:01:00),(12/30/99 12:15:00),"TV, BR, CR",68,1,0,0,2,25,4,3,33,N 39°19.734' W 121°37.791'
95,Gridley Riffle,2001-08-23,(12/30/99 10:45:00),(12/30/99 10:55:00),"TV, BR, CR",68,1,0,0,2,25,4,2,48,N 39°21.261 W 121°37.779
96,Hatchery riffle,2001-04-09,(12/30/99 13:00:00),(12/30/99 13:15:00),"rk, jr",52.5,1,66.5,600,2,25,4,2,32,
97,Auditorium Riffle,2001-04-09,(12/30/99 14:30:00),(12/30/99 14:45:00),"JR, RK",53,1,66.5,600,2,25,4,2,51,
98,Big Bar,2001-08-22,(12/30/99 14:15:00),(12/30/99 14:25:00),"TV, DO, PH",69,1,52.5,0,2,25,4,1,40,N 39° 23.188'  W 121° 37.671'
99,Goose Riffle,2001-08-22,(12/30/99 12:50:00),(12/30/99 13:05:00),"PH, TV, DO",68.5,1,54.5,2000,2,25,4,1,73,N 39° 24.27'  W 121° 37.02'
100,Hour Bar,2001-08-22,(12/30/99 11:30:00),(12/30/99 11:40:00),"PH, TV, DO",68.5,1,56,2000,2,25,4,2,147,N 39° 24.95'  W 121° 37.60'
101,Lower Hour,2001-08-22,(12/30/99 10:42:00),(12/30/99 10:46:00),"DO, TV, PH",67,1,56,2000,2,25,4,1,33,N 39° 25.24'  W 121° 37.54'
102,G 95,2001-08-21,(12/30/99 13:07:00),(12/30/99 13:19:00),"PH, DO",68,1,57,2000,2,25,4,3,0,N 39° 26.24'  W 121° 38.28
103,Lower Big Hole,2001-08-21,(12/30/99 10:58:00),(12/30/99 11:12:00),"PH, DO",65,1,57.5,2000,2,25,4,2,0,N 39° 26.24'  W 121° 38.28'
104,East G 95,2001-08-21,(12/30/99 14:10:00),(12/30/99 14:20:00),"DO, PH",70.5,1,57,2000,2,25,4,2,0,N 39° 25.75'  W 121° 37.57'
105,Vance Avenue,2001-08-21,(12/30/99 09:50:00),(12/30/99 10:00:00),"PH, DO",65,1,58.5,2000,2,25,4,2,20,N 39° 30.987'  W 121° 33.46'
106,Auditorium,2001-08-21,(12/30/99 09:30:00),(12/30/99 09:40:00),"TV, CR, SM",56,1,66.5,700,2,25,4,1,74,N 39° 30.906'  W 121° 33.600
107,Aleck Riffle,2001-08-21,(12/30/99 10:45:00),(12/30/99 10:55:00),"TV, SM, CR",58,1,63.5,700,2,25,4,1,42,N 39° 29.052'  W 121° 34.755'
108,Weir,2001-08-21,(12/30/99 12:05:00),(12/30/99 12:10:00),"SM, TV, CR",62,1,60.5,700,2,25,4,1,48,N 39° 27.705'  W 121° 36.387'
109,Eye Riffle,2001-08-21,(12/30/99 13:45:00),(12/30/99 14:00:00),"TV, CR, SM",64,1,60,700,2,25,4,3,44,N 39° 27.435'  W 121° 36.834'
110,Eye Side Channel,2001-08-21,(12/30/99 14:50:00),(12/30/99 15:00:00),"TV, CR, SM",62,1,60,700,2,25,4,3,22,N 39° 27.452'  W 121° 36.788'
111,Hatchery Ditch,2001-04-09,(12/30/99 10:00:00),(12/30/99 10:35:00),"JR, RK",50,1,66,0,2,25,4,3,5,
112,TRAILER PARK,2001-04-09,(12/30/99 09:30:00),(12/30/99 09:45:00),"SM, PH",52,1,64.5,600,2,25,4,1,0,70
113,MATHEWS RIFFLE,2001-04-09,(12/30/99 11:45:00),(12/30/99 12:00:00),"SM, PH",54,1,64,600,2,25,4,0,40,
114,Alec Riffle,2001-04-09,(12/30/99 14:00:00),(12/30/99 14:10:00),"sm, ph",54,1,63.5,600,2,25,4,1,75,
