PhysDataTblID,Location,Date,StartTime,EndTime,Crew,WaterTemp,Weather,RiverMile,Flow,NumberOfDivers,ReachLength,ReachWidth,ChannelType,ChannelWidth,GPS.Coordinate
11,hatchery ditch,2001-03-14,1999-12-30,1999-12-30,"rk, cd, jr,as",47,1,66.6,12,3,25,4,3,7,
12,Hour Bar,2001-03-15,1999-12-30,1999-12-30,"rk, ph, sm",56,2,56,1700,2,25,4,2,160,
13,Hatchery riffle,2001-08-20,1999-12-30,1999-12-30,"tv, cr",57,1,66.5,600,2,25,4,1,0,"n 39*30.950, w 21*33.212"
14,Hatchery ditch,2001-08-20,1999-12-30,1999-12-30,"tv, cr",55,1,66.6,600,2,25,4,3,0,"N 39* 30.952,  W 21* 33.215"
15,Trailer Park Riffle,2001-08-20,1999-12-30,1999-12-30,"tv, cr",58,1,64,600,2,25,4,1,0,"N 39* 19.055, W 21*37.394"
16,Bedrock Park,2001-08-20,1999-12-30,1999-12-30,"tv, cr",58,1,65.5,600,2,25,4,1,0,"N 39* 30.783, W 21*34.089"
17,Steep Riffle,2001-08-20,1999-12-30,1999-12-30,"GL, BR",63.5,1,61,600,2,25,4,1,17,"N 39*27.758', w 121* 36.263'"
18,Robinson Side Channel,2001-08-20,1999-12-30,1999-12-30,"GL, BR",59.5,1,61.5,600,2,25,4,3,14,"N 39* 27.804', W 121* 36.240'"
19,Steep side channel,2001-08-20,1999-12-30,1999-12-30,"BR, Gl",62.5,1,61,600,2,25,4,3,8,"N 39* 27.755', W 121* 36.201'"
20,Robinson riffle,2001-08-20,1999-12-30,1999-12-30,"BR, GL",61,1,61.5,600,2,25,4,1,31,"N 39* 27.979', W 121* 35.922"
21,Upper Big Hole,2001-07-16,1999-12-30,1999-12-30,"RK, JR, CR",67.5,1,58.3,1900,2,25,4,2,50,None
22,Lower Big Hole,2001-07-16,1999-12-30,1999-12-30,"JR, CR, RK",68,1,58,1900,2,25,4,1,50,None
23,G95,2001-07-16,1999-12-30,1999-12-30,"JR, CR, Rk",68,1,57,900,2,25,4,3,39,None
24,G95 East,2001-07-16,1999-12-30,1999-12-30,"CR, JR",72,1,57,900,2,25,4,2,45,not taken
25,Lower Hole,2001-07-17,1999-12-30,1999-12-30,"SM, GL, CR",68,1,56,1900,2,25,4,2,43,N 39* 30.537' W121* 30.315'
26,Hour Bars,2001-07-17,1999-12-30,1999-12-30,"SM, GL, CR",68,1,56,1900,2,25,4,2,50,
27,Gridley Riffle,2001-07-17,1999-12-30,1999-12-30,"SM, GL, CR",68,1,49.5,1900,2,25,4,1,0,N 39* 22.523'  W 121* 37.945'
28,big bar,2001-07-17,1999-12-30,1999-12-30,gl cr,69,1,52.5,1900,2,25,4,1,55,N39*23.155  W121*37.722
29,goose riffle,2001-07-17,1999-12-30,1999-12-30,sm gl cr,68,1,54.5,1900,2,25,4,1,71,N39*24.340 W121*37.029
30,macfarland riffle,2001-07-17,1999-12-30,1999-12-30,sm gl cr,68,1,52.5,1900,2,25,4,1,75,N 39*23.154' W121*37.723'
31,Shallow,2001-07-18,1999-12-30,1999-12-30,"SM, BR, GL, CR",72,1,47,1900,2,25,4,3,42,N 39* 19.757'  W 121* 37.841'
32,Herringer,2001-07-18,1999-12-30,1999-12-30,"SM, GL, BR, CR",74,1,46,1900,2,25,4,3,32,N 39* 19.056'  W 121* 37.394'
33,Junkyard,2001-07-18,1999-12-30,1999-12-30,"SM, GL, BR, CR",68,1,48.5,1900,2,25,4,1,48,N 39* 20.733'  W 121* 37.574
34,Hatchery Riffle,2001-07-10,1999-12-30,1999-12-30,"SM, CR, GL",60,1,66,600,3,25,4,2,28,N 39º 30.519'  W 121º 30.288
35,Auditorium Riffle,2001-07-10,1999-12-30,1999-12-30,"JR, TV",57,1,66,600,2,25,4,2,32,
36,Hatchery Ditch,2001-07-10,1999-12-30,1999-12-30,"TV, CR, JR",59,1,66.5,600,2,25,4,3,9,N 39º 30.961'  W 121º 33.529
37,Trailer Park Riffle,2001-07-11,1999-12-30,1999-12-30,"RK, CR, BR, MP",59,1,64,600,4,25,4,1,57,N 31º 29.68  W 121º 34.765
38,Robinson Riffle,2001-07-11,1999-12-30,1999-12-30,"TV, CR, BR",63,1,61.5,600,3,25,4,1,34,N 39º 27.983  W 121º 35.919
39,Robinson Side Channel,2001-07-11,1999-12-30,1999-12-30,"TV, CR, CR",63,1,61,600,3,25,4,3,16,N 39º 27.982'  W 121º 35.920
40,Bedrock Riffle,2001-07-12,1999-12-30,1999-12-30,"PH, JR, CR",58,1,66,600,2,25,4,1,51,
41,Eye Side Channel,2001-07-12,1999-12-30,1999-12-30,"JR, CR, PH",63,1,60.1,600,2,25,4,3,21,
42,Mathews Riffle,2001-07-12,1999-12-30,1999-12-30,"PH, CR, JR",60.5,1,64,600,2,25,4,1,42,
43,Eye Riffle,2001-07-12,1999-12-30,1999-12-30,"PH, CR, JR",62,1,60,600,2,25,4,1,25,
44,Steep Side Channel,2001-07-12,1999-12-30,1999-12-30,"TV, Br",61,1,61,600,2,25,4,3,20,N 39º 27.814  W 121º 36.234
45,Steep Riffle,2001-07-12,1999-12-30,1999-12-30,"TV, BR",62,1,61,600,2,25,4,1,0,
46,Lower Hour,2001-06-19,1999-12-30,1999-12-30,"SM, DO",68,1,56,1900,2,25,4,2,20,N 39º 19.139'  W 121º 37.216
47,Lower Hour Side Channel,2001-06-19,1999-12-30,1999-12-30,"DO, SM",69,1,56,1900,2,25,4,3,65,
48,Goose Riffle,2001-06-19,1999-12-30,1999-12-30,"SM, DO",69,1,54.5,1900,2,25,4,1,0,N 39º 24.319'  W 121º 36.976
49,Big Bar,2001-06-19,1999-12-30,1999-12-30,"sm, do",72,1,53.5,1900,2,25,4,1,0,"N39º 24.321', W121º 36.982"
50,Gridley Riffle,2001-06-19,1999-12-30,1999-12-30,"ph, tv",69,1,49.5,1900,2,25,4,2,45,"N39*21.247', W121*37.835'"
51,Junkyard Riffle,2001-06-19,1999-12-30,1999-12-30,"tv, ph",70,1,48.5,1900,2,25,4,1,47,"N39º 20.738', W121º 37.576'"
52,Shallow Riffle,2001-06-19,1999-12-30,1999-12-30,"ph, tv",73,1,47,1900,2,25,4,3,33,"N39*19.765', W121*37.72'"
53,Hatchery  Ditch,2001-06-11,1999-12-30,1999-12-30,"tv, ph",53,1,66.5,0,2,25,4,3,8,
54,Hatchery Riffle,2001-06-11,1999-12-30,1999-12-30,"ph, tv",56,2,66.5,600,2,25,4,1,0,
55,Bedrock Riffle,2001-06-11,1999-12-30,1999-12-30,"ph, tv",56,2,66,600,2,25,4,1,0,
56,Trailer Park,2001-06-11,1999-12-30,1999-12-30,"rk, do",57,1,64.5,600,2,25,4,1,97,"N 39º 29.642, W121º 34.801"
57,Mathews Riffle,2001-06-11,1999-12-30,1999-12-30,"DO, RK",59,1,64,600,2,25,4,1,77,N 39º 29.575'   W 121º 34.795'
58,Aleck Riffle,2001-06-11,1999-12-30,1999-12-30,"RK, DO",60.5,1,63.5,600,1,25,4,1,104,N 39º 29.066'  W121º 34.739'
59,ROBINSON SIDE CHANNEL,2001-06-12,1999-12-30,1999-12-30,"JR, DO",58,1,62,600,2,25,4,3,18,N 39° 27.895'  W 121° 35.857
60,Robinson Main Channel,2001-06-12,1999-12-30,1999-12-30,"DO, JR",59,1,62,600,2,25,4,1,34,N 39° 27.976'  W 121° 35.981'
61,Steep Riffle,2001-06-12,1999-12-30,1999-12-30,"JR, DO",60,1,61,600,2,25,4,1,92,N 39° 27.796'  W 121° 36.242'
62,Steep Side Riffle,2001-06-12,1999-12-30,1999-12-30,"PH, TV",61.5,1,61,600,2,25,4,3,30,
63,Weir Riffle,2001-06-12,1999-12-30,1999-12-30,"PH, TV",66,1,60.5,600,2,25,4,1,61,
64,Eye Riffle,2001-06-12,1999-12-30,1999-12-30,"TV, PH",61,1,60,600,2,25,4,3,19,
65,Vance Avenue BL - River Left,2001-06-14,1999-12-30,1999-12-30,"SM, TV",0,1,58.5,1800,2,25,4,1,55,N 39° 27.795'  W 121° 36.241'
66,Big Hole Island,2001-06-14,1999-12-30,1999-12-30,"SM, TV",64,1,58,1800,2,25,4,1,64,N 39° 26.601'  W 121° 38.228'
67,Across From Big Hole Boat Ramp,2001-06-14,1999-12-30,1999-12-30,"TV, SM",65,1,57.5,1800,2,25,4,2,60,N 39° 26.592'  W 121° 38.212'
68,G95,2001-06-14,1999-12-30,1999-12-30,"SM, TV",66,1,57,1800,2,25,4,3,24,N 39° 26.289'  W 121° 38.260'
69,G95 (Area),2001-06-14,1999-12-30,1999-12-30,"SM, TV",75,1,57,1800,2,25,4,3,31,N 39° 25.882'  W 121° 37.932'
70,Hatchery Ditch,2001-05-21,1999-12-30,1999-12-30,"JK, DO, TV",54,1,66.5,0,3,25,4,3,0,
71,Hatchery Riffle,2001-05-21,1999-12-30,1999-12-30,"JK, DO, TV",57,1,66.5,600,3,25,4,1,0,N 39° 30.94'  W 121° 33.28'
72,Auditorium Riffle,2001-05-21,1999-12-30,1999-12-30,"DO, TV, JK",57,1,66,600,2,25,4,1,60,N 39° 30.92'  W 121° 33.54'
73,Bedrock,2001-05-22,1999-12-30,1999-12-30,"JR, AT, DO",55,1,65.8,600,3,25,4,1,56,N 39° 30.750'  W 121° 34.166'
74,Aleck Riffle,2001-05-22,1999-12-30,1999-12-30,"DO, JR, AT",62.5,1,63.5,600,2,25,4,1,44,N 39° 29.103'  W 121* 34.740'
75,Robinson Side Channel,2001-05-21,1999-12-30,1999-12-30,"jr, sm, rk",60,1,61.5,600,2,25,4,3,24,N 39º 27.962'  W121º 35.980'
76,Lower Robinson,2001-05-21,1999-12-30,1999-12-30,"rk, sm, jr",57.5,1,61.5,600,3,25,4,1,35,
77,Steep Side Channel,2001-05-21,1999-12-30,1999-12-30,"sm, jr, rk",60,1,61,600,2,25,4,3,8,N 39° 27.754'  W 121° 36.194'
78,Eye Riffle Main Channel,2001-05-22,1999-12-30,1999-12-30,"DO, AT, JR",61,1,60,600,3,25,4,1,53,N 39° 29.012'  W 121° 34.740'
79,Eye Riffle Side,2001-05-22,1999-12-30,1999-12-30,"DO, JR, AT",62,1,60,600,3,25,4,3,23,N 39° 29.012'  W 121° 34.740'
80,Big Hole,2001-05-22,1999-12-30,1999-12-30,"SM, TV",67,1,58,2000,2,25,4,2,20,N 39° 26.592'  W 121° 38.209'
81,Big Hole,2001-05-22,1999-12-30,1999-12-30,"SM, TV",69,1,58,2000,2,25,4,2,21,N 39° 26.362'  W 121° 38.220'
82,G95,2001-05-22,1999-12-30,1999-12-30,"SM, TV",67,1,57,2000,2,25,4,3,16,N 39° 25.863'  W 121° 37.934'
83,G95 West Side Channel,2001-05-23,1999-12-30,1999-12-30,"JK, DO, AT",62,1,57,2000,3,25,4,1,36,
84,Hour Riffle,2001-05-23,1999-12-30,1999-12-30,"DO, JK, AT",65,1,56.5,2000,3,25,4,2,40,
85,Hour Bar,2001-05-23,1999-12-30,1999-12-30,"DO, JK, AT",70,1,56,2000,3,25,4,2,55,
86,Macfarland Riffle,2001-08-22,1999-12-30,1999-12-30,"ph, tv, do",70,1,52,2000,2,25,4,1,84,N 39° 22.50'  W 121° 37.94'
87,Goose Riffle,2001-05-23,1999-12-30,1999-12-30,"JR, SM, PH",69,1,54.7,2000,2,25,4,1,56,N 39° 24.197'  W 121° 37.094'
88,Macfarland Riffle,2001-05-23,1999-12-30,1999-12-30,"jr, ph, sm",68,1,52.4,2000,2,25,4,1,60,N 39°22.503 W 121° 37.942
89,Gridley Riffle,2001-05-23,1999-12-30,1999-12-30,"SM, JR, PH",67,1,49.5,2000,2,25,4,2,30,
90,Junkyard Riffle,2001-05-24,1999-12-30,1999-12-30,"do, at, ph",0,1,49,2000,2,25,4,0,67,N 39° 20.8 W 121° 37.6
91,Shallow Riffle Side,2001-05-24,1999-12-30,1999-12-30,"do, ph, at",NA,1,47,2000,2,25,4,3,30,N 39° 19.743 W 121° 37.741
92,Herringer Riffle,2001-05-24,1999-12-30,1999-12-30,"do,ph, at",0,1,46,2000,3,25,4,1,96,N 39° 19.14 W 121° 37.22'
93,Herringer Riffle,2001-08-23,1999-12-30,NA,"BR, CR, TV",70,1,0,0,2,25,4,0,115,"N 39°19.068"" W 121°37.256"
94,Shallow Riffle,2001-08-22,1999-12-30,1999-12-30,"TV, BR, CR",68,1,0,0,2,25,4,3,33,N 39°19.734' W 121°37.791'
95,Gridley Riffle,2001-08-23,1999-12-30,1999-12-30,"TV, BR, CR",68,1,0,0,2,25,4,2,48,N 39°21.261 W 121°37.779
96,Hatchery riffle,2001-04-09,1999-12-30,1999-12-30,"rk, jr",52.5,1,66.5,600,2,25,4,2,32,
97,Auditorium Riffle,2001-04-09,1999-12-30,1999-12-30,"JR, RK",53,1,66.5,600,2,25,4,2,51,
98,Big Bar,2001-08-22,1999-12-30,1999-12-30,"TV, DO, PH",69,1,52.5,0,2,25,4,1,40,N 39° 23.188'  W 121° 37.671'
99,Goose Riffle,2001-08-22,1999-12-30,1999-12-30,"PH, TV, DO",68.5,1,54.5,2000,2,25,4,1,73,N 39° 24.27'  W 121° 37.02'
