Name,Longitude,Latitude
Moe's Side Channel,-121.5570837182332,39.51614945816311
Moe's Side Channel,-121.5574092660141,39.51615862378469
Moe's Side Channel,-121.5577377947835,39.51610458503559
Moe's Side Channel,-121.5580217758314,39.51613086991516
Moe's Side Channel,-121.5583427545604,39.5160959649099
Moe's Side Channel,-121.5587137820187,39.51605708328827
Moe's Side Channel,-121.5589394292034,39.51606504142757
Moe's Side Channel,-121.5591350267591,39.51593173552155
Moe's Side Channel,-121.5592433821418,39.51585585932156
Moe's Side Channel,-121.5592567380828,39.51584980988915
Moe's Side Channel,-121.559293561268,39.51582520770372
Moe's Side Channel,-121.5593408974238,39.51579470346048
Moe's Side Channel,-121.5593652807061,39.51575000354851
Moe's Side Channel,-121.5592417472869,39.51574637894023
Moe's Side Channel,-121.5590994415026,39.51584953042932
Moe's Side Channel,-121.5589544741823,39.51591339373546
Moe's Side Channel,-121.5587814827208,39.51599708597578
Moe's Side Channel,-121.5585927255443,39.51598945096503
Moe's Side Channel,-121.5582772153159,39.51604636034165
Moe's Side Channel,-121.5580266052739,39.51603971584799
Moe's Side Channel,-121.5576643994072,39.51606792833912
Moe's Side Channel,-121.5574254794516,39.51609615872253
Moe's Side Channel,-121.5572154022333,39.51609032595218
Moe's Side Channel,-121.5570988125575,39.51608043871794
Moe's Side Channel,-121.5570837182332,39.51614945816311
Hatchery Riffle,-121.5564612326039,39.51598628463896
Hatchery Riffle,-121.5563652260015,39.51559168182681
Hatchery Riffle,-121.5559759167657,39.51563410276492
Hatchery Riffle,-121.5556715155925,39.51565851445332
Hatchery Riffle,-121.5554093736403,39.51569128203392
Hatchery Riffle,-121.555269071398,39.51572436509302
Hatchery Riffle,-121.5550689776484,39.51575252142249
Hatchery Riffle,-121.5548779002151,39.51577781774206
Hatchery Riffle,-121.5545683991866,39.51579302071858
Hatchery Riffle,-121.5542424132859,39.51585020477316
Hatchery Riffle,-121.5540968725061,39.51589538535217
Hatchery Riffle,-121.5540444933722,39.51592894730775
Hatchery Riffle,-121.5540963240393,39.51611505429338
Hatchery Riffle,-121.5543100817641,39.51614520978186
Hatchery Riffle,-121.5545099798645,39.51605436408668
Hatchery Riffle,-121.5546132297798,39.51603394360881
Hatchery Riffle,-121.5547890634917,39.51602767729258
Hatchery Riffle,-121.5550245661587,39.51602269169339
Hatchery Riffle,-121.5553565663174,39.51599773870926
Hatchery Riffle,-121.5557882637852,39.51598997938997
Hatchery Riffle,-121.556113240578,39.51599071282922
Hatchery Riffle,-121.5564612326039,39.51598628463896
Hatchery Side Channel,-121.5599365334851,39.51594226382507
Hatchery Side Channel,-121.5599280329769,39.51594473933773
Hatchery Side Channel,-121.5599020944642,39.51595218193751
Hatchery Side Channel,-121.5598692177116,39.51595755665066
Hatchery Side Channel,-121.5598244880072,39.51596549496094
Hatchery Side Channel,-121.5597770930879,39.51596898729797
Hatchery Side Channel,-121.5597303392489,39.51598598026525
Hatchery Side Channel,-121.5597021929084,39.51599799799904
Hatchery Side Channel,-121.5596726995499,39.51599876136927
Hatchery Side Channel,-121.55963141886281,39.51600626080476
Hatchery Side Channel,-121.559605533685,39.51600700450125
Hatchery Side Channel,-121.5595851589303,39.51601439628038
Hatchery Side Channel,-121.5595464003482,39.51602423548691
Hatchery Side Channel,-121.5595191396705,39.51603159951897
Hatchery Side Channel,-121.5594871684111,39.51603688909375
Hatchery Side Channel,-121.559459620662,39.51604883213179
Hatchery Side Channel,-121.5594458716981,39.51605386845802
Hatchery Side Channel,-121.559412227121,39.51605910706174
Hatchery Side Channel,-121.5593948678997,39.51606688449105
Hatchery Side Channel,-121.5593634276357,39.51607403645027
Hatchery Side Channel,-121.5592986350431,39.51609410045633
Hatchery Side Channel,-121.559257436277,39.51609706995683
Hatchery Side Channel,-121.5592493354831,39.51610438672351
Hatchery Side Channel,-121.5592075828623,39.51611693437165
Hatchery Side Channel,-121.559172456975,39.51612680706835
Hatchery Side Channel,-121.5591399864228,39.51613341811862
Hatchery Side Channel,-121.5590982242586,39.51614592335065
Hatchery Side Channel,-121.559075044596,39.51614876221209
Hatchery Side Channel,-121.5590529384027,39.51615289888515
Hatchery Side Channel,-121.5590032739392,39.51615990785081
Hatchery Side Channel,-121.5589774626706,39.51616701554869
Hatchery Side Channel,-121.5589589112323,39.51618071502273
Hatchery Side Channel,-121.5589416242098,39.51619065281853
Hatchery Side Channel,-121.5589087610702,39.51620128642366
Hatchery Side Channel,-121.5588807931021,39.51621308735849
Hatchery Side Channel,-121.5588421440082,39.51622674416699
Hatchery Side Channel,-121.5588113123823,39.51624806647295
Hatchery Side Channel,-121.5587951298945,39.51625313201961
Hatchery Side Channel,-121.558760099598,39.51626217189264
Hatchery Side Channel,-121.5587402199473,39.51627691254708
Hatchery Side Channel,-121.5587023463475,39.51629020620356
Hatchery Side Channel,-121.5586663030692,39.51630440775261
Hatchery Side Channel,-121.5586282757625,39.51632355934845
Hatchery Side Channel,-121.5585940497645,39.51633279326133
Hatchery Side Channel,-121.5585565443111,39.51633900272788
