location_table_id,date,location,water_temp,weather,river_mile,flow,number_of_divers,reach_length,reach_width,channel_width,channel_type,gps_coordinate,longitude_google,latitude_google
11,3/14/01,hatchery ditch,47,direct sunlight,66.6,12,3,25,4,7,sidechannel,NA,,
12,3/15/01,hour bars,56,overcast,56,1700,2,25,4,160,mainchannel branch,NA,,
13,8/20/01,hatchery riffle,57,direct sunlight,66.5,600,2,25,4,0,mainchannel,"n 39*30.950, w 21*33.212",-121.553533,39.515833
14,8/20/01,hatchery ditch,55,direct sunlight,66.6,600,2,25,4,0,sidechannel,"N 39* 30.952,  W 21* 33.215",-121.553583,39.515867
15,8/20/01,trailer park riffle,58,direct sunlight,64,600,2,25,4,0,mainchannel,"N 39* 19.055, W 21*37.394",-121.623233,39.317583
16,8/20/01,bedrock park riffle,58,direct sunlight,65.5,600,2,25,4,0,mainchannel,"N 39* 30.783, W 21*34.089",-121.56815,39.51305
17,8/20/01,steep riffle,63.5,direct sunlight,61,600,2,25,4,17,mainchannel,"N 39*27.758', w 121* 36.263'",-121.604383,39.462633
18,8/20/01,robinson riffle,59.5,direct sunlight,61.5,600,2,25,4,14,sidechannel,"N 39* 27.804', W 121* 36.240'",-121.604,39.463389
19,8/20/01,steep riffle,62.5,direct sunlight,61,600,2,25,4,8,sidechannel,"N 39* 27.755', W 121* 36.201'",-121.60335,39.462583
20,8/20/01,robinson riffle,61,direct sunlight,61.5,600,2,25,4,31,mainchannel,"N 39* 27.979', W 121* 35.922",-121.5987,39.466317
21,7/16/01,upper big hole,67.5,direct sunlight,58.3,1900,2,25,4,50,mainchannel branch,None,,
22,7/16/01,lower big hole,68,direct sunlight,58,1900,2,25,4,50,mainchannel,None,,
23,7/16/01,g95,68,direct sunlight,57,900,2,25,4,39,sidechannel,None,,
24,7/16/01,g95,72,direct sunlight,57,900,2,25,4,45,mainchannel branch,not taken,,
25,7/17/01,lower big hole,68,direct sunlight,56,1900,2,25,4,43,mainchannel branch,N 39* 30.537' W121* 30.315',coordinate doesn't make sense (DWR office),
26,7/17/01,hour bars,68,direct sunlight,56,1900,2,25,4,50,mainchannel branch,NA,,
27,7/17/01,gridley riffle,68,direct sunlight,49.5,1900,2,25,4,0,mainchannel,N 39* 22.523'  W 121* 37.945',-121.632417,39.375383
28,7/17/01,big bar,69,direct sunlight,52.5,1900,2,25,4,55,mainchannel,N39*23.155  W121*37.722,-121.6287,39.385917
29,7/17/01,goose riffle,68,direct sunlight,54.5,1900,2,25,4,71,mainchannel,N39*24.340 W121*37.029,-121.61715,39.405667
30,7/17/01,macfarland riffle,68,direct sunlight,52.5,1900,2,25,4,75,mainchannel,N 39*23.154' W121*37.723',-121.628717,39.3859
31,7/18/01,shallow riffle,72,direct sunlight,47,1900,2,25,4,42,sidechannel,N 39* 19.757'  W 121* 37.841',-121.630683,39.329283
32,7/18/01,herringer riffle,74,direct sunlight,46,1900,2,25,4,32,sidechannel,N 39* 19.056'  W 121* 37.394',-121.623233,39.3176
33,7/18/01,junkyard riffle,68,direct sunlight,48.5,1900,2,25,4,48,mainchannel,N 39* 20.733'  W 121* 37.574,-121.626233,39.34555
34,7/10/01,hatchery riffle,60,direct sunlight,66,600,3,25,4,28,mainchannel branch,N 39º 30.519'  W 121º 30.288,coordinate doesn't make sense (DWR office),
35,7/10/01,auditorium riffle,57,direct sunlight,66,600,2,25,4,32,mainchannel branch,NA,,
36,7/10/01,hatchery ditch,59,direct sunlight,66.5,600,2,25,4,9,sidechannel,N 39º 30.961'  W 121º 33.529,-121.558817,39.516017
37,7/11/01,trailer park riffle,59,direct sunlight,64,600,4,25,4,57,mainchannel,N 31º 29.68  W 121º 34.765,-121.579417,39.494667
38,7/11/01,robinson riffle,63,direct sunlight,61.5,600,3,25,4,34,mainchannel,N 39º 27.983  W 121º 35.919,-121.59865,39.466383
39,7/11/01,robinson riffle,63,direct sunlight,61,600,3,25,4,16,sidechannel,N 39º 27.982'  W 121º 35.920,-121.598667,39.466367
40,7/12/01,bedrock park riffle,58,direct sunlight,66,600,2,25,4,51,mainchannel,NA,,
41,7/12/01,eye riffle,63,direct sunlight,60.1,600,2,25,4,21,sidechannel,NA,,
