location_table_id,date,location,channel_location,water_temp,weather,flow,number_of_divers,reach_length,reach_width,channel_width,channel_type,river_mile,coordinate_method,latitude,longitude
11,2001-03-14,hatchery ditch,LFC,47,direct sunlight,12,3,25,4,7,sidechannel,66.6,assigned based on similar location,39.516017,-121.558817
12,2001-03-15,hour bars,HFC,56,overcast,1700,2,25,4,160,mainchannel branch,56,assigned based on similar location,39.415833,-121.626667
13,2001-08-20,hatchery riffle,LFC,57,direct sunlight,600,2,25,4,0,mainchannel,66.5,reported in database,39.515833,-121.553533
14,2001-08-20,hatchery ditch,LFC,55,direct sunlight,600,2,25,4,0,sidechannel,66.6,reported in database,39.515867,-121.553583
15,2001-08-20,trailer park,LFC,58,direct sunlight,600,2,25,4,0,mainchannel,64,reported in database,39.494033,-121.580017
16,2001-08-20,bedrock riffle,LFC,58,direct sunlight,600,2,25,4,0,mainchannel,65.5,reported in database,39.51305,-121.56815
17,2001-08-20,steep riffle,LFC,63.5,direct sunlight,600,2,25,4,17,mainchannel,61,reported in database,39.462633,-121.604383
18,2001-08-20,robinson riffle,LFC,59.5,direct sunlight,600,2,25,4,14,sidechannel,61.5,reported in database,39.464917,-121.597617
19,2001-08-20,steep riffle,LFC,62.5,direct sunlight,600,2,25,4,8,sidechannel,61,reported in database,39.462583,-121.60335
20,2001-08-20,robinson riffle,LFC,61,direct sunlight,600,2,25,4,31,mainchannel,61.5,reported in database,39.466317,-121.5987
21,2001-07-16,upper big hole,HFC,67.5,direct sunlight,1900,2,25,4,50,mainchannel branch,58.3,assigned based on similar location,39.4384,-121.637333
22,2001-07-16,lower big hole,HFC,68,direct sunlight,1900,2,25,4,50,mainchannel,58,assigned based on similar location,39.437333,-121.638
23,2001-07-16,g95,HFC,68,direct sunlight,900,2,25,4,39,sidechannel,57,assigned based on similar location,39.43085,-121.631033
24,2001-07-16,g95,HFC,72,direct sunlight,900,2,25,4,45,mainchannel branch,57,assigned based on similar location,39.429167,-121.626167
