unit,section_name,section_number,section_type,river_mile,channel_type,longitude,latitude
23,hatchery riffle,1,permanent,1,LFC,-121.5551415427545,39.51589308111142
24,hatchery riffle,1,permanent,1,LFC,-121.5551415427545,39.51589308111142
25,hatchery riffle,1,permanent,1,LFC,-121.5551415427545,39.51589308111142
19,hatchery riffle,1,permanent,1,LFC,-121.5551415427545,39.51589308111142
26,hatchery ditch,2,permanent,1,LFC,-121.558817,39.516017
28,hatchery ditch,3,permanent,1,LFC,-121.558817,39.516017
33,hatchery ditch,2,permanent,1,LFC,-121.558817,39.516017
29,auditorium riffle,4,permanent,1,LFC,-121.55724996434388,39.51572749683782
30,auditorium riffle,4,permanent,1,LFC,-121.55724996434388,39.51572749683782
31,auditorium riffle,4,permanent,1,LFC,-121.55724996434388,39.51572749683782
32,auditorium riffle,4,permanent,1,LFC,-121.55724996434388,39.51572749683782
55,bedrock riffle,5,permanent,2,LFC,-121.56969508278982,39.512278526351245
56,bedrock riffle,5,permanent,2,LFC,-121.56969508278982,39.512278526351245
96,trailer park riffle,6,permanent,3,LFC,-121.57971616310243,39.49584241854057
97,trailer park riffle,6,permanent,3,LFC,-121.57971616310243,39.49584241854057
98,trailer park riffle,6,permanent,3,LFC,-121.57971616310243,39.49584241854057
103,matthews riffle,7,permanent,3,LFC,-121.5790352595597,39.491579661721076
104,matthews riffle,7,permanent,3,LFC,-121.5790352595597,39.491579661721076
105,matthews riffle,7,permanent,3,LFC,-121.5790352595597,39.491579661721076
119,aleck riffle,8,permanent,4,LFC,-121.5794592026649,39.48331386310063
120,aleck riffle,8,permanent,4,LFC,-121.5794592026649,39.48331386310063
169,robinson riffle,9,permanent,6,LFC,-121.59868349549524,39.46658078193731
170,robinson riffle,9,permanent,6,LFC,-121.59868349549524,39.46658078193731
171,robinson riffle,9,permanent,6,LFC,-121.59868349549524,39.46658078193731
173,robinson riffle,9,permanent,6,LFC,-121.59868349549524,39.46658078193731
174,robinson riffle,9,permanent,6,LFC,-121.59868349549524,39.46658078193731
175,robinson riffle,9,permanent,6,LFC,-121.59868349549524,39.46658078193731
185,steep riffle,10,permanent,7,LFC,-121.60398233995551,39.46237832680189
189,steep riffle,10,permanent,7,LFC,-121.60398233995551,39.46237832680189
215A,eye riffle,11,permanent,7,LFC,-121.61376644684658,39.457176712788495
216,eye riffle,11,permanent,7,LFC,-121.61376644684658,39.457176712788495
215B,eye riffle,11,permanent,7,LFC,-121.61376644684658,39.457176712788495
217,eye riffle,11,permanent,7,LFC,-121.61376644684658,39.457176712788495
210,eye riffle,11,permanent,7,LFC,-121.61376644684658,39.457176712788495
221,gateway riffle,12,permanent,8,LFC,-121.62402827803733,39.457075398277325
225,gateway riffle,12,permanent,8,LFC,-121.62402827803733,39.457075398277325
226,gateway riffle,12,permanent,8,LFC,-121.62402827803733,39.457075398277325
229,gateway riffle,12,permanent,8,LFC,-121.62402827803733,39.457075398277325
228,gateway riffle,12,permanent,8,LFC,-121.62402827803733,39.457075398277325
268,vance riffle,13,permanent,9,HFC,-121.6387685884971,39.450075629498
266,vance riffle,13,permanent,9,HFC,-121.6387685884971,39.450075629498
323A,g95,14,permanent,10,HFC,-121.63162079499759,39.43055471091409
323B,g95,14,permanent,10,HFC,-121.63162079499759,39.43055471091409
402,kiester riffle,15,permanent,13,HFC,-121.61657523010796,39.40739318578828
403,kiester riffle,15,permanent,13,HFC,-121.61657523010796,39.40739318578828
397,kiester riffle,15,permanent,12,HFC,-121.61657523010796,39.40739318578828
408,goose riffle,16,permanent,13,HFC,-121.61848955678974,39.4041048388296
424,big riffle,17,permanent,14,HFC,-121.62212765497418,39.393458161739765
426,big riffle,17,permanent,14,HFC,-121.62212765497418,39.393458161739765
441,mcfarland,18,permanent,15,HFC,-121.63304364637244,39.37535868902367
445,mcfarland,18,permanent,15,HFC,-121.63304364637244,39.37535868902367
450,mcfarland,18,permanent,15,HFC,-121.63304364637244,39.37535868902367
486,gridley riffle,19,permanent,18,HFC,-121.62985922818218,39.35481535844486
487,gridley riffle,19,permanent,18,HFC,-121.62985922818218,39.35481535844486
499,junkyard riffle,20,permanent,19,HFC,-121.62786164802617,39.34668877932123
502,junkyard riffle,20,permanent,19,HFC,-121.62786164802617,39.34668877932123
29A,NA,NA,random,1,LFC,NA,NA
27,NA,NA,random,1,LFC,NA,NA
172,NA,NA,random,6,LFC,NA,NA
31A,NA,NA,random,1,LFC,NA,NA
177,NA,NA,random,6,LFC,NA,NA
183,NA,NA,random,6,LFC,NA,NA
267,NA,NA,random,9,HFC,NA,NA
21,NA,NA,random,1,LFC,NA,NA
20,NA,NA,random,1,LFC,NA,NA
200,NA,NA,random,7,LFC,NA,NA
215,NA,NA,random,7,LFC,NA,NA
352,NA,NA,random,11,HFC,NA,NA
355,NA,NA,random,11,HFC,NA,NA
356,NA,NA,random,11,HFC,NA,NA
358,NA,NA,random,11,HFC,NA,NA
362,NA,NA,random,11,HFC,NA,NA
370,NA,NA,random,11,HFC,NA,NA
365,NA,NA,random,11,HFC,NA,NA
405,NA,NA,random,13,HFC,NA,NA
406,NA,NA,random,13,HFC,NA,NA
407,NA,NA,random,13,HFC,NA,NA
410,NA,NA,random,13,HFC,NA,NA
446,NA,NA,random,15,HFC,NA,NA
448,NA,NA,random,15,HFC,NA,NA
451,NA,NA,random,15,HFC,NA,NA
452,NA,NA,random,15,HFC,NA,NA
176,NA,NA,random,6,LFC,NA,NA
121,NA,NA,random,4,LFC,NA,NA
124,NA,NA,random,4,LFC,NA,NA
126,NA,NA,random,4,LFC,NA,NA
127,NA,NA,random,4,LFC,NA,NA
122,NA,NA,random,4,LFC,NA,NA
224,NA,NA,random,8,LFC,NA,NA
413,NA,NA,random,13,HFC,NA,NA
409,NA,NA,random,13,HFC,NA,NA
411,NA,NA,random,13,HFC,NA,NA
453,NA,NA,random,15,HFC,NA,NA
205,NA,NA,random,7,LFC,NA,NA
100,NA,NA,random,3,LFC,NA,NA
178,NA,NA,random,6,LFC,NA,NA
121A,NA,NA,random,4,LFC,NA,NA
54,NA,NA,random,2,LFC,NA,NA
165,NA,NA,random,6,LFC,NA,NA
192,NA,NA,random,7,LFC,NA,NA
191,NA,NA,random,7,LFC,NA,NA
297,NA,NA,random,10,HFC,NA,NA
306,NA,NA,random,10,HFC,NA,NA
299,NA,NA,random,10,HFC,NA,NA
329,NA,NA,random,10,HFC,NA,NA
335,NA,NA,random,11,HFC,NA,NA
331,NA,NA,random,10,HFC,NA,NA
330,NA,NA,random,10,HFC,NA,NA
334,NA,NA,random,11,HFC,NA,NA
102,NA,NA,random,3,LFC,NA,NA
108,NA,NA,random,4,LFC,NA,NA
197,NA,NA,random,7,LFC,NA,NA
207,NA,NA,random,7,LFC,NA,NA
233,NA,NA,random,8,LFC,NA,NA
236,NA,NA,random,8,LFC,NA,NA
269,NA,NA,random,9,HFC,NA,NA
270,NA,NA,random,9,HFC,NA,NA
271,NA,NA,random,9,HFC,NA,NA
273,NA,NA,random,9,HFC,NA,NA
274,NA,NA,random,9,HFC,NA,NA
276,NA,NA,random,9,HFC,NA,NA
278,NA,NA,random,9,HFC,NA,NA
282,NA,NA,random,9,HFC,NA,NA
284,NA,NA,random,9,HFC,NA,NA
288,NA,NA,random,9,HFC,NA,NA
296,NA,NA,random,10,HFC,NA,NA
303,NA,NA,random,10,HFC,NA,NA
304,NA,NA,random,10,HFC,NA,NA
309,NA,NA,random,10,HFC,NA,NA
