observation_id,survey_id,unit,count,substrate,overhead_cover,instream_cover,channel_geomorphic_unit,depth,fork_length,species,run,clipped
21,1,29A,100,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
28,1,32,25,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
31,1,32,300,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
32,1,32,12,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
36,1,32,1000,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
38,1,25,5,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
39,1,29A,100,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
46,1,32,25,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
48,1,32,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
49,1,32,300,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
50,1,32,12,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
55,1,25,202,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
56,1,25,155,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
65,1,19,10,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
66,1,19,50,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
73,1,27,106,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
75,1,27,1,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
76,1,27,28,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
78,1,28,67,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
79,2,169,50,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
86,2,215B,7,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
88,2,172,10,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
89,2,172,6,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
93,2,210,17,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
95,2,210,8,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
97,3,33,36,NA,NA,NA,NA,NA,50,o. mykiss,NA,FALSE
100,3,33,1,NA,NA,NA,NA,NA,100,chinook salmon,NA,NA
101,3,33,1,NA,NA,NA,NA,NA,50,o. mykiss,NA,FALSE
103,3,33,3,NA,NA,NA,NA,NA,100,o. mykiss,NA,FALSE
104,3,30,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
108,3,31A,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
110,3,32,14,NA,NA,NA,NA,NA,75,chinook salmon,NA,NA
111,3,32,245,NA,NA,NA,NA,NA,75,chinook salmon,NA,NA
113,3,32,1,NA,NA,NA,NA,NA,50,chinook salmon,NA,NA
114,3,32,12,NA,NA,NA,NA,NA,50,o. mykiss,NA,FALSE
115,3,32,2,NA,NA,NA,NA,NA,100,o. mykiss,NA,NA
118,3,29A,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
124,4,171,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
125,4,174,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
127,4,177,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
128,4,183,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
130,4,23,5,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
135,4,172,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
137,5,189,7,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
138,5,189,7,NA,NA,NA,NA,NA,NA,o. mykiss,NA,NA
139,5,189,5,NA,NA,NA,NA,NA,NA,o. mykiss,NA,NA
141,5,185,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
142,5,185,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
145,5,210,30,NA,NA,NA,NA,NA,NA,small mouth bass,NA,NA
148,5,215B,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
149,5,215A,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
151,6,266,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
152,6,267,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
154,6,323A,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,NA
155,6,323B,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
160,7,27,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
163,7,21,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
164,7,20,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
168,7,29,4,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
170,7,32,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
171,7,31A,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
175,8,185,9,NA,NA,NA,NA,NA,NA,o. mykiss,NA,NA
178,8,173,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
179,8,174,1,NA,NA,NA,NA,NA,NA,o. mykiss,NA,NA
182,8,172,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,NA
186,9,216,2,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
187,9,200,9,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
189,9,217,3,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
191,9,215,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
193,9,215B,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
196,9,268,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
197,9,323A,3,NA,NA,NA,NA,NA,NA,o. mykiss,NA,FALSE
198,9,323B,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
200,10,352,1,NA,NA,NA,NA,NA,NA,chinook salmon,NA,NA
203,10,355,NA,NA,NA,NA,NA,NA,NA,z. nada,NA,NA
