survey_id,date,flow,weather,turbidity,start_time,end_time,section_name,units_covered,unit,species,count,size_class,est_size,substrate,instream_cover,overhead_cover,hydrology,water_depth_m,run,tagged,clipped,location,survey_type,section_type,fork_length,bank_distance,unit_type,visibility,section_number,temperature
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,169,CHN,50,III,NA,NA,NA,NA,NA,NA,unknown,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,169,RBTS,4,IV,175,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,173,CHN,4,I,NA,NA,NA,NA,NA,NA,unknown,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,173,RBTS,5,IV,150,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,185,RBTS,12,IV,150,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,185,CHN,15,III,NA,NA,NA,NA,NA,NA,unknown,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,215B,RBTS,14,IV,175,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,215B,CHN,7,III,NA,NA,NA,NA,NA,NA,unknown,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,216,RBTC,1,V,440,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,172,RBTS,10,II,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,172,RBTS,6,I,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,189,RBTS,2,IV,150,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,189,RBTS,6,II,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,210,RBTS,1,V,400,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,210,RBTS,17,II,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,210,RBTS,5,IV,150,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,210,RBTS,8,I,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",26,CHN,0,NA,NA,NA,NA,NA,NA,NA,unknown,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",33,RBTS,36,II,50,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",33,CHN,3,II,50,NA,NA,NA,NA,NA,unknown,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",33,CHN,30,III,75,NA,NA,NA,NA,NA,unknown,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
