SurveyID,Date,SnorkelCrew,ShoreCrew,Recorder,RiverFlow,Weather,VisibilityComments,TempTime,Location,SnorkelTimeStart,SnorkelTimeStop,Comments,SurveyType,SectionType,Units,X..of.Divers,X..of.Center.Passes,Pass.width,Visibility,Temperature
3,1999-06-30,PH DG,TV,TV,7788,CLR,,(12/30/99 12:00:00),G95,(12/30/99 12:15:00),(12/30/99 12:45:00),Units 323 A+B,Unit,Permanent,,NA,NA,NA,NA,64
4,1999-06-30,PH DG,TV,TV,7788,CLR,,(12/30/99 10:15:00),Big Hole Island,(12/30/99 10:35:00),(12/30/99 12:00:00),"Units 300, 301, 303, 305",Unit,Permanent,,NA,NA,NA,NA,64
5,1999-07-01,PH JK TS,BC,BC,8050,CLR,,(12/30/99 12:00:00),McFarland Bend,(12/30/99 11:45:00),(12/30/99 12:25:00),"Units 449,452,451,453      Flows swift",Unit,Permanent,,NA,NA,NA,1.5,65
6,1999-07-01,"PH, TS, JK",BC,BC,8050,CLR,,(12/30/99 12:40:00),BIG RIFFLE,(12/30/99 12:40:00),(12/30/99 13:35:00),"UNITS 421,423,424",Unit,Random,,NA,NA,NA,1.5,64
7,1999-07-01,TS PH JK,BC,BC,8050,CLR,,(12/30/99 15:15:00),Lower  Hour Riffle,(12/30/99 14:30:00),(12/30/99 15:20:00),"Units 353,355,356,358",Unit,Random,,NA,NA,NA,NA,64.5
10,1999-06-28,"DG, TV",PH,PH,621,CLR,,(12/30/99 12:45:00),ROBINSON RIFFLE,(12/30/99 12:30:00),(12/30/99 13:48:00)," Units 173-177, 179,",Unit,Permanent,,NA,NA,NA,3.5,61.5
11,1999-06-28,TV  DG,PH,PH,621,CLR,,(12/30/99 11:30:00),BELOW GREAT WESTERN RIFFLE,(12/30/99 11:05:00),(12/30/99 12:10:00)," Units 149, 151",Unit,Random,,NA,NA,NA,3.5,60.5
12,1999-06-25,TS  PH  BC,JK,JK,628,CLR,EXCELLENT VIS.,(12/30/99 15:05:00),ALECK RIFFLE,(12/30/99 14:25:00),(12/30/99 15:05:00),"RM 119, 121A",Unit,Permanent,,NA,NA,NA,4.09999990463257,62
13,1999-06-25,TS  BC  PH,JK,JK,628,CLR,GOOD VIS,(12/30/99 11:00:00),BEDROCK PARK,(12/30/99 11:00:00),(12/30/99 13:30:00),"Units 50,52, 54, 55, 56",Unit,Random,,NA,NA,NA,4.09999990463257,58.5
14,1999-06-23,PH  TV,BC,BC,650,CLR,VERY CLEAR,(12/30/99 12:10:00),MOES DITCH,(12/30/99 12:20:00),(12/30/99 13:50:00),"26, FROM HATCHERY ROAD UP",Unit,Permanent,,NA,NA,NA,NA,56
15,1999-06-22,JK PH EE,BC,BC,661,CLR,EXCELLENT VIS.,(12/30/99 10:30:00),HATCHERY RIFFLE,(12/30/99 10:40:00),(12/30/99 11:40:00),"19, 23, 24",Unit,Permanent,,NA,NA,NA,NA,56.5
17,1999-06-04,TS PH EE,JK,JK,1876,CLD,,(12/30/99 11:50:00),MCFARLAND TO SWAMPY BEND,(12/30/99 11:25:00),(12/30/99 15:15:00),,Unit,Random,,NA,NA,NA,1.70000004768372,64.5
18,1999-06-03,JK EE TV DG,PH,PH,1752,CLD,POOR VISIBILITY,(12/30/99 11:10:00),GOOSE TO MCFARLAND,(12/30/99 11:10:00),(NA NA),"408-411,413,417,424-429 ,430 432,433,435-437, 439",Unit,Random,,NA,NA,NA,1,63
19,1999-06-01,DG PH JK,BC,BC,1870,CLD,,(12/30/99 12:00:00),HOUR GLIDE,(12/30/99 11:55:00),(12/30/99 14:10:00),,Unit,Random,,NA,NA,NA,1.5,67
