ObsID,SID,Observer,Unit,Species,Count,Size.Class,Substrate,Overhead.Cover,Instream.Cover,Hydrology.Code,Water.Depth..m.,Est.Size,LWD..,Comments
21,1,,29A,CHN,100,III,NA,NA,,,NA,NA,NA,
28,1,"RK,BW,KW",32A,RBTS,25,I,NA,NA,,,NA,NA,NA,
31,1,,32A,CHN,300,III,NA,NA,,,NA,NA,NA,
32,1,"RK,BW,KW",32,RBTS,12,I,NA,NA,,,NA,NA,NA,
36,1,,32,CHN,1000,III,NA,NA,,,NA,NA,NA,
38,1,,25,RBTS,5,,NA,NA,,,NA,NA,NA,
39,1,,29A,CHN,100,III,NA,NA,,,NA,NA,NA,
46,1,,32A,RBTS,25,I,NA,NA,,,NA,NA,NA,
48,1,,32A,RBTS,2,III,NA,NA,,,NA,NA,NA,
49,1,,32A,CHN,300,III,NA,NA,,,NA,NA,NA,
50,1,,32,RBTS,12,I,NA,NA,,,NA,NA,NA,
55,1,"KH,KT,TH",25,CHN,202,I,NA,NA,,,NA,NA,NA,
56,1,,25,CHN,155,II,NA,NA,,,NA,NA,NA,
65,1,,19,RBTS,10,II,NA,NA,,,NA,NA,NA,
66,1,,19,CHN,50,I,NA,NA,,,NA,NA,NA,
73,1,TH,27,CHN,106,I,NA,NA,,,NA,NA,NA,
75,1,,27,CHN,1,II,NA,NA,,,NA,NA,NA,
76,1,,27,RBTS,28,II,NA,NA,,,NA,NA,NA,
78,1,,28,RBTS,67,II,NA,NA,,,NA,NA,NA,
79,2,TV,169,CHN,50,III,NA,NA,,,NA,NA,NA,
86,2,,215B,CHN,7,III,NA,NA,,,NA,NA,NA,
88,2,KM,172,RBTS,10,II,NA,NA,,,NA,NA,NA,
89,2,,172,RBTS,6,I,NA,NA,,,NA,NA,NA,
93,2,,210,RBTS,17,II,NA,NA,,,NA,NA,NA,
95,2,,210,RBTS,8,I,NA,NA,,,NA,NA,NA,
97,3,,33,RBTS,36,II,NA,NA,,,NA,50,NA,
100,3,,33,CHN,1,,NA,NA,,,NA,100,NA,
101,3,,33,RBTS,1,II,NA,NA,,,NA,50,NA,
103,3,,33,RBTS,3,,NA,NA,,,NA,100,NA,
104,3,"CC,BW",30,NONE,NA,,NA,NA,,,NA,NA,NA,
108,3,"CC,BW",31A,NONE,NA,,NA,NA,,,NA,NA,NA,
110,3,"CC,BW",32,CHN,14,III,NA,NA,,,NA,75,NA,
111,3,,32,CHN,245,III,NA,NA,,,NA,75,NA,
113,3,,32,CHN,1,II,NA,NA,,,NA,50,NA,
114,3,,32,RBTS,12,II,NA,NA,,,NA,50,NA,
115,3,,32,RBTC,2,,NA,NA,,,NA,100,NA,
118,3,"KM,KS",29A,NONE,NA,,NA,NA,,,NA,NA,NA,
124,4,,171,RBTS,1,,NA,NA,,,NA,NA,NA,
125,4,,174,NONE,NA,,NA,NA,,,NA,NA,NA,
127,4,,177,NONE,NA,,NA,NA,,,NA,NA,NA,
128,4,,183,NONE,NA,,NA,NA,,,NA,NA,NA,
130,4,,23,RBTS,5,,NA,NA,,,NA,NA,NA,
135,4,"CC,BW",172,NONE,NA,,NA,NA,,,NA,NA,NA,
137,5,"CC,KS,KT,KM",189,RBTS,7,II,NA,NA,,,NA,NA,NA,
138,5,,189,RBTC,7,II,NA,NA,,,NA,NA,NA,
139,5,,189,RBTC,5,III,NA,NA,,,NA,NA,NA,
141,5,,185,RBTS,1,II,NA,NA,,,NA,NA,NA,
142,5,,185,RBTS,2,II,NA,NA,,,NA,NA,NA,
145,5,,210,SMB,30,II,NA,NA,,,NA,NA,NA,
148,5,,215B,RBTS,1,II,NA,NA,,,NA,NA,NA,
149,5,,215A,NONE,NA,,NA,NA,,,NA,NA,NA,
151,6,"CC,BW,KM,KS",266,NONE,NA,,NA,NA,,,NA,NA,NA,
152,6,,267,NONE,NA,,NA,NA,,,NA,NA,NA,
154,6,,323A,RBTC,1,,NA,NA,,,NA,NA,NA,
155,6,,323B,NONE,NA,,NA,NA,,,NA,NA,NA,
160,7,BW,27,NONE,NA,,NA,NA,,,NA,NA,NA,
163,7,"TV,GS",21,NONE,NA,,NA,NA,,,NA,NA,NA,
