area_sq_m,unit,unit_sub_level,latitude,longitude
3902.530714,1,,39.51783945,-121.5508326
3323.048794,2,,39.517642,-121.5510633
3969.676141,3,,39.51750555,-121.5507017
2357.769471,4,,39.51684927,-121.5510461
6545.378754,5,,39.51734016,-121.5525429
1936.578936,6,,39.51747002,-121.5518277
2883.876254,7,,39.51733859,-121.5516827
3825.779683,8,,39.51700719,-121.5520552
3143.783888,9,,39.51670764,-121.5521133
4211.307586,10,,39.51661002,-121.5519437
4199.905824,11,,39.51646734,-121.5518317
8318.691236,12,,39.51694925,-121.5530151
3495.88142,13,,39.51659791,-121.5534471
2376.231069,14,,39.51639577,-121.5533427
2422.103837,15,,39.51625971,-121.5532719
2287.579295,16,,39.51611856,-121.5531688
2083.76645,17,,39.51683008,-121.5541974
1693.419668,18,,39.51662535,-121.554289
8353.539896,19,,39.51608791,-121.5541997
3445.733573,20,,39.51656482,-121.5560366
5265.999943,21,,39.51645664,-121.5559344
6042.114837,22,,39.5163741,-121.5556055
4216.194286,23,,39.51600154,-121.5555029
3800.59796,24,,39.51585018,-121.5556171
3328.326076,25,,39.51570342,-121.5554847
3582.043765,26,,39.5163336,-121.5573618
4455.38637,27,,39.51614072,-121.5582444
7018.588394,28,,39.51592593,-121.5581436
3188.908447,29,,39.51587186,-121.5575298
3235.393558,29,A,39.51568841,-121.5586123
3569.869632,30,,39.51588982,-121.5566438
3949.611443,31,,39.51570486,-121.557419
2031.910915,31,A,39.51551958,-121.5585223
3385.796248,32,,39.51553245,-121.5571922
2666.088279,32,A,39.51536737,-121.5585421
7637.805369,33,,39.51599742,-121.559687
2282.586993,34,,39.51574293,-121.5598041
4516.038203,35,,39.51555076,-121.5595347
8219.013515,36,,39.51508535,-121.5603804
14945.09228,37,,39.51560908,-121.5616537
17084.19259,38,,39.51541965,-121.5606996
8753.755495,39,,39.51498309,-121.5618181
2456.489663,40,,39.51510747,-121.5638487
3503.735621,41,,39.51482897,-121.5640978
3409.67493,42,,39.51488062,-121.5636506
10448.23011,44,,39.51432571,-121.5631375
6940.564928,46,,39.51447916,-121.5654546
9973.761523,47,,39.51427443,-121.5652555
12813.73448,48,,39.51396757,-121.5650668
6353.692884,49,,39.51363643,-121.5651062
6610.951197,50,,39.51364898,-121.5677542
8317.852154,51,,39.51355072,-121.5674774
6045.084687,52,,39.51337483,-121.5674159
16635.69845,53,,39.51272165,-121.5680468
5882.940218,54,,39.51289801,-121.5698524
7397.494553,55,,39.5126509,-121.5698269
8720.852377,56,,39.51277421,-121.5690646
7034.709695,57,,39.51230669,-121.571874
20657.30945,58,,39.51201037,-121.5715775
7825.792794,59,,39.5117025,-121.571306
13003.49941,60,,39.51214707,-121.5747372
9951.094114,61,,39.51166041,-121.5745904
8672.321529,62,,39.51132965,-121.573864
8908.458727,63,,39.5110608,-121.5738002
5045.036922,64,,39.51170707,-121.576269
9353.400547,65,,39.5115924,-121.5757026
7217.449273,66,,39.51117936,-121.5755512
4028.502849,67,,39.51086583,-121.5754028
8142.613312,68,,39.51073866,-121.5772016
18796.22511,69,,39.51062682,-121.5768866
8108.070037,70,,39.51039815,-121.5766222
5906.472293,71,,39.50764098,-121.5783574
10814.85146,72,,39.50817168,-121.5779201
7275.7964,73,,39.50847237,-121.5775621
1181.98687,74,,39.50693901,-121.5784712
2621.176245,75,,39.50694023,-121.5782174
1514.431166,76,,39.50689037,-121.5779273
5479.597965,77,,39.5057913,-121.5786158
9219.410768,78,,39.50583194,-121.5783192
7062.743232,79,,39.50583121,-121.5780052
7818.219075,80,,39.50406225,-121.5790072
11542.30759,81,,39.50407611,-121.5786551
8770.264912,82,,39.50398725,-121.5783193
8433.13054,83,,39.5020615,-121.5794294
15747.20769,84,,39.50219254,-121.579004
8569.026036,85,,39.50221658,-121.5785948
10126.68183,86,,39.50021277,-121.5794537
