survey_id,date,unit,species,count,fork_length,substrate,instream_cover,overhead_cover,water_depth_m,tagged,clipped
2,2007-06-27,169,Chinook Salmon,50,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,169,Rainbow Trout,4,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,173,Chinook Salmon,4,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,173,Rainbow Trout,5,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,185,Rainbow Trout,12,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,185,Chinook Salmon,15,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,215B,Rainbow Trout,14,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,215B,Chinook Salmon,7,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,216,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
2,2007-06-27,172,Rainbow Trout,10,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,172,Rainbow Trout,6,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,189,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,189,Rainbow Trout,6,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,210,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,210,Rainbow Trout,17,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,210,Rainbow Trout,5,NA,NA,NA,NA,NA,FALSE,FALSE
2,2007-06-27,210,Rainbow Trout,8,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,26,Chinook Salmon,0,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,33,Rainbow Trout,36,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,33,Chinook Salmon,3,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,33,Chinook Salmon,30,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,33,Chinook Salmon,1,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,33,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,33,Rainbow Trout,17,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,33,Rainbow Trout,3,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,31,Steelhead Trout,3,NA,NA,NA,NA,NA,FALSE,TRUE
3,2007-07-16,31,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
3,2007-07-16,31,Chinook Salmon,15,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,32A,Chinook Salmon,70,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,32,Chinook Salmon,14,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,32,Chinook Salmon,245,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,32,Chinook Salmon,3,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,32,Chinook Salmon,1,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,32,Rainbow Trout,12,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,32,Steelhead Trout,2,NA,NA,NA,NA,NA,FALSE,TRUE
3,2007-07-16,32,Steelhead Trout,5,NA,NA,NA,NA,NA,FALSE,TRUE
3,2007-07-16,33,Rainbow Trout,17,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,29,Rainbow Trout,7,NA,NA,NA,NA,NA,FALSE,FALSE
3,2007-07-16,29,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
4,2007-07-17,24,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
4,2007-07-17,170,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
4,2007-07-17,171,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
4,2007-07-17,23,Rainbow Trout,5,NA,NA,NA,NA,NA,FALSE,FALSE
4,2007-07-17,23,Sacramento Squawfish,1,NA,NA,NA,NA,NA,FALSE,FALSE
4,2007-07-17,176,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
5,2007-07-18,189,Rainbow Trout,7,NA,NA,NA,NA,NA,FALSE,FALSE
5,2007-07-18,189,Steelhead Trout,7,NA,NA,NA,NA,NA,FALSE,TRUE
5,2007-07-18,189,Steelhead Trout,5,NA,NA,NA,NA,NA,FALSE,TRUE
5,2007-07-18,189,Rainbow Trout,6,NA,NA,NA,NA,NA,FALSE,FALSE
5,2007-07-18,185,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
5,2007-07-18,185,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
5,2007-07-18,217,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
5,2007-07-18,200,Rainbow Trout,10,NA,NA,NA,NA,NA,FALSE,FALSE
5,2007-07-18,210,Smallmouth Bass,30,NA,NA,NA,NA,NA,FALSE,FALSE
5,2007-07-18,215B,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
5,2007-07-18,215B,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
6,2007-07-19,323A,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
7,2007-08-13,33,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
7,2007-08-13,33,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
7,2007-08-13,33,Chinook Salmon,4,NA,NA,NA,NA,NA,FALSE,FALSE
7,2007-08-13,30,Steelhead Trout,1,NA,NA,NA,NA,NA,FALSE,TRUE
7,2007-08-13,29,Chinook Salmon,4,NA,NA,NA,NA,NA,FALSE,FALSE
7,2007-08-13,24,Steelhead Trout - Form Not I.d.'D,1,NA,NA,NA,NA,NA,TRUE,FALSE
8,2007-08-14,185,Steelhead Trout - Form Not I.d.'D,9,NA,NA,NA,NA,NA,TRUE,FALSE
8,2007-08-14,185,Steelhead Trout - Form Not I.d.'D,1,NA,NA,NA,NA,NA,TRUE,FALSE
8,2007-08-14,189,Steelhead Trout - Form Not I.d.'D,11,NA,NA,NA,NA,NA,TRUE,FALSE
8,2007-08-14,174,Steelhead Trout - Form Not I.d.'D,1,NA,NA,NA,NA,NA,TRUE,FALSE
8,2007-08-14,174,Steelhead Trout - Form Not I.d.'D,2,NA,NA,NA,NA,NA,TRUE,FALSE
8,2007-08-14,172,Steelhead Trout - Form Not I.d.'D,2,NA,NA,NA,NA,NA,TRUE,FALSE
8,2007-08-14,172,Steelhead Trout - Form Not I.d.'D,1,NA,NA,NA,NA,NA,TRUE,FALSE
9,2007-08-15,216,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
9,2007-08-15,216,Rainbow Trout,1,NA,NA,NA,NA,NA,FALSE,FALSE
9,2007-08-15,216,Rainbow Trout,2,NA,NA,NA,NA,NA,FALSE,FALSE
9,2007-08-15,200,Chinook Salmon,9,NA,NA,NA,NA,NA,FALSE,FALSE
