survey_id,date,flow,weather,turbidity,start_time,end_time,section_name,units_covered,unit,visibility,temperature,hydrology
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,173,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,215B,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,189,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",26,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",33,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",30,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",31,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",31A,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",32A,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",32,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",29A,NA,NA,NA
3,2007-07-16,NA,clear,NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a",29,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,171,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,175,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,183,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,173,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA
4,2007-07-17,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA
5,2007-07-18,NA,NA,NA,NA,NA,NA,NA,189,NA,NA,NA
5,2007-07-18,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA
5,2007-07-18,NA,NA,NA,NA,NA,NA,NA,217,NA,NA,NA
5,2007-07-18,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA
5,2007-07-18,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA
5,2007-07-18,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA
5,2007-07-18,NA,NA,NA,NA,NA,NA,NA,215B,NA,NA,NA
5,2007-07-18,NA,NA,NA,NA,NA,NA,NA,215A,NA,NA,NA
5,2007-07-18,NA,NA,NA,NA,NA,NA,NA,216,NA,NA,NA
6,2007-07-19,NA,NA,NA,NA,NA,NA,NA,266,NA,NA,NA
6,2007-07-19,NA,NA,NA,NA,NA,NA,NA,267,NA,NA,NA
