unit,unit_sub_level,channel_type,river_mile,area_sq_m,latitude,longitude
1,NA,LFC,1,3902.530714,39.51783945,-121.5508326
2,NA,LFC,1,3323.048794,39.517642,-121.5510633
3,NA,LFC,1,3969.676141,39.51750555,-121.5507017
4,NA,LFC,1,2357.769471,39.51684927,-121.5510461
5,NA,LFC,1,6545.378754,39.51734016,-121.5525429
6,NA,LFC,1,1936.578936,39.51747002,-121.5518277
7,NA,LFC,1,2883.876254,39.51733859,-121.5516827
8,NA,LFC,1,3825.779683,39.51700719,-121.5520552
9,NA,LFC,1,3143.783888,39.51670764,-121.5521133
10,NA,LFC,1,4211.307586,39.51661002,-121.5519437
11,NA,LFC,1,4199.905824,39.51646734,-121.5518317
12,NA,LFC,1,8318.691236,39.51694925,-121.5530151
13,NA,LFC,1,3495.88142,39.51659791,-121.5534471
14,NA,LFC,1,2376.231069,39.51639577,-121.5533427
15,NA,LFC,1,2422.103837,39.51625971,-121.5532719
16,NA,LFC,1,2287.579295,39.51611856,-121.5531688
17,NA,LFC,1,2083.76645,39.51683008,-121.5541974
18,NA,LFC,1,1693.419668,39.51662535,-121.554289
19,NA,LFC,1,8353.539896,39.51608791,-121.5541997
20,NA,LFC,1,3445.733573,39.51656482,-121.5560366
21,NA,LFC,1,5265.999943,39.51645664,-121.5559344
22,NA,LFC,1,6042.114837,39.5163741,-121.5556055
23,NA,LFC,1,4216.194286,39.51600154,-121.5555029
24,NA,LFC,1,3800.59796,39.51585018,-121.5556171
25,NA,LFC,1,3328.326076,39.51570342,-121.5554847
26,NA,LFC,1,3582.043765,39.5163336,-121.5573618
27,NA,LFC,1,4455.38637,39.51614072,-121.5582444
28,NA,LFC,1,7018.588394,39.51592593,-121.5581436
29,NA,LFC,1,3188.908447,39.51587186,-121.5575298
29,A,LFC,1,3235.393558,39.51568841,-121.5586123
30,NA,LFC,1,3569.869632,39.51588982,-121.5566438
31,NA,LFC,1,3949.611443,39.51570486,-121.557419
31,A,LFC,1,2031.910915,39.51551958,-121.5585223
