date,location,type,redd_count,salmon_count,depth_m,pot_depth_m,velocity,percent_fine_substrate,percent_small_substrate,percent_medium_substrate,percent_large_substrate,percent_boulder,redd_width_m,redd_length_m,latitude,longitude
2009-09-29,Table Mountain,Area,1,0,0.78,0,0,10,20,40,30,0,NA,NA,NA,NA
2009-09-29,Table Mountain,Point,1,0,0.56,0,0,5,20,30,40,5,0.91,1.22,NA,NA
2009-09-29,Table Mountain,Area,1,0,0.64,0,0,15,30,20,30,5,0.91,1.52,NA,NA
2009-09-29,Cottonwood,Area,1,0,0.5,0,0,30,50,20,0,0,0.91,1.22,NA,NA
2009-09-29,Moes Ditch,Area,1,0,0.4,0,0,25,15,60,0,0,1.22,1.83,NA,NA
2009-09-29,Hatchery Riffle,Area,1,0,0.52,0,0,5,15,30,50,0,0.91,0.91,NA,NA
2009-09-29,Lower Auditorium,Area,1,0,0.58,0,0,5,20,20,45,0,0.91,0.91,NA,NA
2009-09-29,Moes Ditch,Area,3,0,0.32,0,0,20,20,60,0,0,3.66,1.22,NA,NA
2009-09-29,Lower Auditorium,Area,1,0,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-09-29,Lower Auditorium,Area,1,0,0.46,NA,NA,NA,NA,NA,NA,NA,1.22,1.22,NA,NA
2009-09-29,Lower Auditorium,Area,1,0,0.34,NA,NA,NA,NA,NA,NA,NA,0.61,0.91,NA,NA
2009-09-29,Lower Auditorium,Area,1,0,0.4,NA,NA,NA,NA,NA,NA,NA,0.61,0.91,NA,NA
2009-09-29,Lower Auditorium,Area,1,0,0.54,NA,NA,NA,NA,NA,NA,NA,0.91,1.22,NA,NA
2009-09-29,Lower Auditorium,Area,1,0,0.58,NA,NA,NA,NA,NA,NA,NA,1.22,1.52,NA,NA
2009-09-29,Lower Auditorium,Area,1,0,0.7,0,0,20,10,25,45,0,0.91,0.91,NA,NA
2009-09-29,Table Mountain,Area,2,0,0.58,0,0,0,5,60,30,5,1.22,1.83,NA,NA
2009-10-22,Bedrock,Area,1,0,0.46,0.4,3.2480316,5,30,50,10,5,NA,NA,NA,NA
2009-10-22,Bedrock,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-22,Trailer Park,Area,1,0,0.55,0.65,2.4934384,5,25,40,25,5,NA,NA,NA,NA
2009-10-22,Trailer Park,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-22,Trailer Park,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-22,Trailer Park,Area,2,0,0.5,0.58,1.7716536,5,15,30,25,25,NA,NA,NA,NA
2009-10-22,Trailer Park,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-22,Trailer Park,Area,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-22,Mathews,Area,1,1,0.4,0.5,1.64042,5,30,50,15,0,NA,NA,NA,NA
2009-10-22,Mathews,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-22,Mathews,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-22,Mathews,Area,1,1,0.42,0.56,3.772966,5,40,40,15,0,NA,NA,NA,NA
2009-10-22,Mathews,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-22,Mathews,Area,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-22,Lower Auditorium,Area,1,0,0.3,0.46,1.9028872,5,40,40,15,NA,NA,NA,NA,NA
2009-10-22,Lower Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-22,Lower Auditorium,Area,1,0,0.46,0.42,1.1154856,5,40,50,5,NA,NA,NA,NA,NA
2009-10-22,Lower Auditorium,Area,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-22,Lower Auditorium,Area,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
