location,date,longitude,latitude,channel_location
Below Big,2024-10-22T00:00:00Z,-121.62443136,39.38997402,HFC
Below Big,2024-10-22T00:00:00Z,-121.62370888,39.38978359,HFC
Below Big,2024-10-22T00:00:00Z,-121.62372759,39.38993214,HFC
Below Big,2024-10-22T00:00:00Z,-121.62365379,39.38999568,HFC
Below Big,2024-10-22T00:00:00Z,-121.62359125,39.39001876,HFC
Below Big,2024-10-22T00:00:00Z,-121.62354812,39.39001229,HFC
Below Big,2024-10-22T00:00:00Z,-121.62347453,39.3899941,HFC
Below Big,2024-10-22T00:00:00Z,-121.62355748,39.38989115,HFC
Below Big,2024-10-22T00:00:00Z,-121.62346607,39.39003406,HFC
Below Big,2024-10-22T00:00:00Z,-121.62342454,39.39033671,HFC
Below Big,2024-10-22T00:00:00Z,-121.62415431,39.39032438,HFC
Below Big,2024-10-22T00:00:00Z,-121.62419743,39.39033355,HFC
Below Big,2024-11-08T00:00:00Z,-121.62365475,39.38977142,HFC
Below Big,2024-11-08T00:00:00Z,-121.62403141,39.39040685,HFC
Below Big,2024-11-08T00:00:00Z,-121.62368808,39.39062693,HFC
Below Big,2024-11-08T00:00:00Z,-121.62410638,39.39019713,HFC
Below Big,2024-11-08T00:00:00Z,-121.62362991,39.38993261,HFC
Big Bar,2024-10-22T00:00:00Z,-121.62759268,39.38645864,HFC
Big Bar,2024-10-22T00:00:00Z,-121.6275505,39.38649819,HFC
Big Bar,2024-10-22T00:00:00Z,-121.62750086,39.38651345,HFC
Big Bar,2024-10-22T00:00:00Z,-121.62751324,39.38660514,HFC
Big Bar,2024-10-22T00:00:00Z,-121.62754346,39.38662619,HFC
Big Bar,2024-10-22T00:00:00Z,-121.62742787,39.38664903,HFC
Big Bar,2024-10-22T00:00:00Z,-121.62739444,39.386676370000004,HFC
Big Bar,2024-10-22T00:00:00Z,-121.62737499,39.3866845,HFC
Big Bar,2024-10-22T00:00:00Z,-121.62738777,39.38669829,HFC
Big Bar,2024-10-22T00:00:00Z,-121.62741163,39.38681213,HFC
Big Bar,2024-10-22T00:00:00Z,-121.62754537000001,39.38654467,HFC
Big Bar,2024-10-22T00:00:00Z,-121.6274661,39.38670054,HFC
