year,location,surveyed,survey_week
2014,bedrock,FALSE,NA
2014,belowlowerauditorium,FALSE,NA
2014,cottonwood,TRUE,1
2014,cottonwood,TRUE,2
2014,cottonwood,TRUE,3
2014,cottonwood,TRUE,4
2014,cottonwood,TRUE,9
2014,hatchery,TRUE,1
2014,hatchery,TRUE,2
2014,hatchery,TRUE,3
2014,hatchery,TRUE,4
2014,hatchery,TRUE,5
2014,hatchery,TRUE,6
2014,hatchery,TRUE,7
2014,hatchery,TRUE,8
2014,hatcherypipe,FALSE,NA
2014,hatcherysidechannel,FALSE,NA
2014,lowerauditorium,TRUE,1
2014,lowerauditorium,TRUE,2
2014,lowerauditorium,TRUE,5
2014,lowerauditorium,TRUE,6
2014,lowerauditorium,TRUE,7
2014,lowerauditorium,TRUE,8
2014,lowertablemountain,FALSE,NA
2014,middleauditorium,TRUE,1
2014,middleauditorium,TRUE,2
2014,middleauditorium,TRUE,3
2014,middleauditorium,TRUE,4
2014,middleauditorium,TRUE,5
2014,middleauditorium,TRUE,6
2014,middleauditorium,TRUE,7
2014,middleauditorium,TRUE,8
2014,moessidechannel,TRUE,1
2014,moessidechannel,TRUE,2
2014,moessidechannel,TRUE,3
2014,moessidechannel,TRUE,4
2014,moessidechannel,TRUE,5
2014,moessidechannel,TRUE,6
2014,moessidechannel,TRUE,7
2014,moessidechannel,TRUE,8
2014,tablemountain,FALSE,NA
2014,topofauditorium,TRUE,1
2014,topofauditorium,TRUE,2
2014,topofauditorium,TRUE,3
2014,topofauditorium,TRUE,4
2014,topofauditorium,TRUE,5
2014,topofauditorium,TRUE,6
2014,topofauditorium,TRUE,7
2014,topofauditorium,TRUE,8
2014,topofauditorium,TRUE,9
2014,topofhatchery,FALSE,NA
2014,upperauditorium,TRUE,1
2014,upperauditorium,TRUE,2
2014,upperauditorium,TRUE,3
2014,upperauditorium,TRUE,4
2014,upperauditorium,TRUE,5
2014,upperauditorium,TRUE,6
2014,upperauditorium,TRUE,7
2014,upperauditorium,TRUE,8
2014,uppercottonwood,TRUE,1
2014,uppercottonwood,TRUE,2
2014,uppercottonwood,TRUE,3
2014,uppercottonwood,TRUE,4
2014,uppercottonwood,TRUE,5
2014,uppercottonwood,TRUE,6
2014,uppercottonwood,TRUE,7
2014,uppercottonwood,TRUE,8
2014,uppercottonwood,TRUE,9
2014,upperhatchery,TRUE,1
2014,upperhatchery,TRUE,2
2014,upperhatchery,TRUE,3
2014,upperhatchery,TRUE,4
2014,upperhatchery,TRUE,5
2014,upperhatchery,TRUE,6
2014,upperhatchery,TRUE,7
2014,upperhatchery,TRUE,8
2014,upperhatchery,TRUE,9
2014,belowbigholeeast,TRUE,5
2014,belowbigholeeast,TRUE,8
2014,belowbigholeeast,TRUE,10
2014,belowbigholeeast,TRUE,11
2014,bigbar,TRUE,5
2014,bigbar,TRUE,8
2014,bigbar,TRUE,10
2014,bigbar,TRUE,11
2014,bigholeeast,TRUE,5
2014,bigholeeast,TRUE,8
2014,bigholeeast,TRUE,10
2014,bigholeeast,TRUE,11
2014,bigholewest,TRUE,5
2014,bigholewest,TRUE,8
2014,bigholewest,TRUE,10
2014,bigholewest,TRUE,11
2014,developing,TRUE,5
2014,developing,TRUE,8
