,date,survey_wk,location,file_number,number_redds,number_salmon,depth_m,pot_depth_m,velocity_m_s,percent_fines,percent_small,percent_med,percent_large,percent_boulder,redd_width_m,redd_length_m,longitude,latitude,elevation_ft,accuracy_ft,boat_point,,Northing,Easting,Latitude,Longitude
1,9/9/2014,1-Jan,moe's side channel,1,1,1,0.3,0.5,0.61,40,20,35,5,0,1.1,2,0,0,NA,NA,NA,,4375043.277,623941.252,39.51609619,-121.5581676
2,9/25/2014,2-Mar,lower auditorium,11,1,0,0.77,0.8,0.41,0,10,40,50,0,1.2,2.6,0,0,NA,NA,NA,,4374966.776,623732.563,39.51543718,-121.5606088
3,10/1/2014,2-Apr,lower auditorium,20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39.42014842,NA,NA,NA,,4374975.372,623737.576,39.51551388,-121.5605489
4,10/6/2014,1-May,hatchery riffle,77,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,,4375008.910,624103.984,39.51576313,-121.5562814
5,10/14/2014,1-Jun,hatchery riffle,138,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.4887439,0,NA,NA,NA,,No record,No record,,
6,10/17/2014,2-Jun,upper cottonwood,45,1,1,0.28,0.38,0.93,10,40,50,0,0,0.7,2,-121.8806867,0,NA,NA,NA,,4375132.846,624263.776,39.51685641,-121.5544
7,10/17/2014,2-Jun,cottonwood,64,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.4887439,0,NA,NA,NA,,No record,No record,,
8,11/12/2014,1-Aug,top of auditorium,62,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.8824211,0,NA,NA,NA,,4375080.811,624071.274,39.51641552,-121.5566484
9,9/17/2015,2-Jan,middle auditorium,39,1,0,0.46,0.54,1.15,10,30,30,30,0,1.4,2.5,-127.4887439,0,NA,NA,NA,,No record,No record,,
10,9/21/2015,1-Feb,lower auditorium,32,1,1,0.48,0.55,0.4,10,50,45,5,0,1.7,2.1,0,0,NA,NA,NA,,4374991.486,623791.16,39.51565132,-121.5599227
11,9/24/2015,3-Feb,middle auditorium,78,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.4887439,0,NA,NA,NA,,No record,No record,,
12,9/28/2015,1-Mar,cottonwood,47,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.4887439,0,NA,NA,NA,,No record,No record,,
13,10/15/2015,2-May,goose,19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.927652,0,NA,NA,NA,,4362615.337,619051.445,39.40483673,-121.6172531
14,10/16/2015,3-May,lower auditorium,27,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,,4375016.269,623717.331,39.51588519,-121.5607767
15,10/16/2015,HFWK1,upper big hole east,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.4887439,0,NA,NA,NA,,4366432.867,617451.003,39.439445,-121.6351661
16,10/16/2015,HFWK1,upper big hole east,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-127.4887439,0,NA,NA,NA,,4366432.967,617441.441,39.43944721,-121.6352772
