,date,survey_wk,location,file_number,number_redds,number_salmon,depth_m,pot_depth_m,velocity_m_s,percent_fines,percent_small,percent_med,percent_large,percent_boulder,redd_width_m,redd_length_m,longitude,latitude,elevation_ft,accuracy_ft,boat_point,Corrected utm northing ,Corrected utm easting,Corrected latitude,Corrected longitude
1,9/18/2014,2-2,lower auditorium,66,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5650455,39.27245757,NA,NA,NA,4374994.047,623778.732,39.51567618,-121.5600668
2,10/1/2014,4-2,lower auditorium,64,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5558503,39.69578699,NA,NA,NA,4374990.791,623818.767,39.51564108,-121.5596018
3,10/2/2014,4-3,upper hatchery riffle,31,1,1,0.22,0.28,0.97,0,20,40,40,0,0.85,1.1,-121.5509507,39.51641391,NA,NA,NA,4375089.059,624299.929,39.51645676,-121.5539877
4,10/14/2014,6-1,top of auditorium,84,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5495248,39.51628687,NA,NA,NA,4375076.934,624082.732,39.51637894,-121.5565159
5,10/20/2014,7-1,top of auditorium,88,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5495406,39.5162285,NA,NA,NA,4375082.413,624084.455,39.51642805,-121.5564948
6,10/22/2014,7-2,upper hatchery riffle,37,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5541955,39.5181708,NA,NA,NA,4375076.083,624277.857,39.51634307,-121.5542468
7,11/13/2014,8-2,mid auditorium,174,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5463914,39.51538555,NA,NA,NA,4374981.242,623933.706,39.51553849,-121.5582669
8,9/22/2015,2-2,table mountain,10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5514114,39.51821865,NA,NA,NA,4375228.167,624518.253,39.51767819,-121.5514226
9,10/9/2015,4-4,moe's side channel,87,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5464013,39.51594345,NA,NA,NA,4375042.59,623953.005,39.51608831,-121.558031
10,10/19/2015,6-1,lower auditorium,16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5600356,39.5242976,NA,NA,NA,4374950.963,623766.107,39.51528991,-121.5602216
11,10/22/2015,6-4,lower auditorium,44,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5671797,39.51564943,NA,NA,NA,4374956.569,623775.534,39.51533905,-121.5601109
12,10/22/2015,6-4,middle auditorium,106,1,0,0.61,0.62,0.85,0,15,25,50,10,1.1,1.5,-121.5580087,39.52470727,NA,NA,NA,4374999.22,623939.602,39.51569958,-121.5581949
13,10/28/2015,7-2,upper hatchery,17,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5539532,39.52287257,NA,NA,NA,4375081.183,624291.459,39.51638705,-121.5540877
14,10/29/2015,7-3,lower auditorium,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.561217,39.49746768,NA,NA,NA,4374971.551,623712.143,39.51548313,-121.5608454
15,10/30/2015,7-4,moe's side channel,87,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5459205,39.51599022,NA,NA,NA,4375048.448,623994.255,39.51613512,-121.5575502
16,11/24/2015,11-1,top of auditorium,44,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5683298,39.51657067,NA,NA,NA,4375081.996,624066.826,39.51642684,-121.5566999
