"","date","survey_wk","location","file_number","number_redds","number_salmon","depth_m","pot_depth_m","velocity_m_s","percent_fines","percent_small","percent_med","percent_large","percent_boulder","redd_width_m","redd_length_m","longitude","latitude","elevation_ft","accuracy_ft","boat_point"
"1","2014-11-07","HF2","middleauditorium",3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.626608190798,39.4192277254991,NA,NA,NA
"2","2014-11-07","HF2","middleauditorium",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627223819039,39.4176998620939,NA,NA,NA
"3","2014-11-07","HF2","middleauditorium",5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627343452105,39.417653889353,NA,NA,NA
"4","2014-11-07","HF2","middleauditorium",6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627554538371,39.4173586922004,NA,NA,NA
"5","2014-11-07","HF2","middleauditorium",7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627411511883,39.4174294735085,NA,NA,NA
"6","2014-11-07","HF2","middleauditorium",9,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627261165499,39.4156255231564,NA,NA,NA
"7","2014-11-07","HF2","middleauditorium",10,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627133750753,39.4156289839513,NA,NA,NA
"8","2014-11-07","HF2","middleauditorium",11,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627129956771,39.4156719809222,NA,NA,NA
"9","2014-11-07","HF2","middleauditorium",12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.627060052528,39.4157329027447,NA,NA,NA
"10","2014-11-07","HF2","middleauditorium",13,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.626946544251,39.41572855345,NA,NA,NA
"11","2014-11-07","HF2","middleauditorium",14,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.625766739867,39.4098841591031,NA,NA,NA
"12","2022-11-22","11-2","tablemountain",41,1,0,0.38,0.46,0.212,20,30,40,10,0,0.4,0.8,-121.579623191602,39.496410384211,NA,NA,NA
"13","2023-09-26","2-1","trailerpark",NA,1,4,0.54,NA,0.531,30,35,35,0,0,1.2,2.1,-121.55916329,39.51600036,123.59,0.84,FALSE
"14","2023-10-19","5-2","uppermathews",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5576469,39.51572598,119.71,0.52,FALSE
"15","2023-10-19","5-2","uppermathews",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55787447,39.51570684,120.96,0.56,FALSE
"16","2023-10-25",NA,"uppermathews",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55733036,39.51589657,116.79,0.69,FALSE
"17","2023-10-25",NA,"uppermathews",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55655445,39.51600506,119.69,0.52,FALSE
"18","2023-10-25",NA,"uppermathews",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55658786,39.51585525,116.63,0.54,FALSE
"19","2023-10-25",NA,"uppermathews",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55643006,39.5157891,119.24,0.53,FALSE
