,year,location,survey_group,spawning_area,surveyed,redd_observed,survey_week,
2,2014,bedrock,gsa,FALSE,FALSE,NA,NA,
4,2014,belowlowerauditorium,gsa,FALSE,FALSE,NA,NA,
8,2014,cottonwood,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 9,
19,2014,hatchery,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8,
20,2014,hatcherypipe,gsa,TRUE,FALSE,NA,NA,
21,2014,hatcherysidechannel,gsa,TRUE,FALSE,NA,NA,
23,2014,lowerauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 5 & 6 & 7 & 8,
28,2014,lowertablemountain,gsa,TRUE,FALSE,NA,NA,
31,2014,middleauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8,
32,2014,moessidechannel,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8,
36,2014,tablemountain,gsa,TRUE,FALSE,NA,NA,
37,2014,topofauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9,
38,2014,topofhatchery,gsa,FALSE,FALSE,NA,NA,
40,2014,upperauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8,
41,2014,uppercottonwood,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 ,
42,2014,upperhatchery,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9,
3,2014,belowbigholeeast,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
5,2014,bigbar,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
6,2014,bigholeeast,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
7,2014,bigholewest,hfc,TRUE,TRUE,FALSE,5 & 8 & 10 & 11,
9,2014,developing,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
12,2014,g95eastsidechannelbottom,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
13,2014,g95eastsidechanneltop,hfc,TRUE,TRUE,FALSE,5 & 8 & 10 & 11,
14,2014,g95main,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
15,2014,g95westsidechannel,hfc,FALSE,FALSE,NA,NA,
17,2014,goose,hfc,TRUE,TRUE,FALSE,5 & 8 & 10 & 11,
22,2014,keister,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
24,2014,lowerbig,hfc,FALSE,FALSE,NA,NA,
25,2014,lowerhour,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
26,2014,lowermcfarland,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
29,2014,lowervanceeast,hfc,TRUE,TRUE,FALSE,5 & 8 & 10 & 11,
33,2014,palm,hfc,FALSE,FALSE,NA,NA,
43,2014,upperhour,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
45,2014,uppermcfarland,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
47,2014,vanceeast,hfc,TRUE,TRUE,TRUE,5 & 8 & 10 & 11,
1,2014,aleck,lfc,TRUE,FALSE,NA,NA,
10,2014,eye,lfc,FALSE,FALSE,NA,NA,
11,2014,eyesidechannel,lfc,TRUE,FALSE,NA,NA,
16,2014,gateway,lfc,TRUE,FALSE,NA,NA,
18,2014,greatwestern,lfc,FALSE,FALSE,NA,NA,
27,2014,lowerrobinson,lfc,TRUE,FALSE,NA,NA,
30,2014,mathews,lfc,TRUE,FALSE,NA,NA,
34,2014,steep,lfc,TRUE,FALSE,NA,NA,
35,2014,steepsidechannel,lfc,FALSE,FALSE,NA,NA,
39,2014,trailerpark,lfc,TRUE,FALSE,NA,NA,
44,2014,uppermathews,lfc,FALSE,FALSE,NA,NA,
46,2014,upperrobinson,lfc,TRUE,FALSE,NA,NA,
48,2014,vancewest,hfc,TRUE,FALSE,NA,NA,
49,2014,weir,lfc,TRUE,FALSE,NA,NA,
51,2015,bedrock,gsa,FALSE,FALSE,FALSE,NA,
53,2015,belowlowerauditorium,gsa,FALSE,FALSE,FALSE,NA,
57,2015,cottonwood,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 &4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13,
68,2015,hatchery,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 &4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13,
69,2015,hatcherypipe,gsa,TRUE,FALSE,FALSE,NA,
70,2015,hatcherysidechannel,gsa,TRUE,TRUE,TRUE,9 & 10 & 11 & 12 & 13,
72,2015,lowerauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 &4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13,
77,2015,lowertablemountain,gsa,TRUE,FALSE,FALSE,NA,
80,2015,middleauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 &4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13,
81,2015,moessidechannel,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 &4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13,
85,2015,tablemountain,gsa,TRUE,TRUE,TRUE,9 & 10 & 11 & 12 & 13,
86,2015,topofauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 &4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13,
87,2015,topofhatchery,gsa,FALSE,FALSE,FALSE,NA,
89,2015,upperauditorium,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 &4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13,
90,2015,uppercottonwood,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 &4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13,
91,2015,upperhatchery,gsa,FALSE,TRUE,TRUE,1 & 2 & 3 &4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13,
52,2015,belowbigholeeast,hfc,FALSE,,,,
54,2015,bigbar,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
55,2015,bigholeeast,hfc,TRUE,TRUE,TRUE,5 & 6 & 10 & 13,
