"","date","survey_wk","location","file_number","number_redds","number_salmon","depth_m","pot_depth_m","velocity_m_s","percent_fines","percent_small","percent_med","percent_large","percent_boulder","redd_width_m","redd_length_m","longitude","latitude","elevation_ft","accuracy_ft","boat_point"
"1","2014-09-18","2-2","lower auditorium",66,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.565045469967,39.272457568655,NA,NA,NA
"2","2014-10-01","4-2","lower auditorium",64,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.555850320575,39.6957869886567,NA,NA,NA
"3","2014-10-02","4-3","upper hatchery riffle",31,1,1,0.22,0.28,0.97,0,20,40,40,0,0.85,1.1,-121.550950654078,39.5164139056313,NA,NA,NA
"4","2014-10-14","6-1","top of auditorium",84,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.549524758102,39.5162868741841,NA,NA,NA
"5","2014-10-20","7-1","top of auditorium",88,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.549540594774,39.5162284977986,NA,NA,NA
"6","2014-10-22","7-2","upper hatchery riffle",37,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.554195502561,39.5181707999373,NA,NA,NA
"7","2014-11-13","8-2","mid auditorium",174,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.546391377078,39.5153855453071,NA,NA,NA
"8","2015-09-22","2-2","table mountain",10,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55141136844,39.5182186480954,NA,NA,NA
"9","2015-10-09","4-4","moe's side channel",87,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.546401302176,39.5159434514258,NA,NA,NA
"10","2015-10-19","6-1","lower auditorium",16,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.560035584231,39.5242976046416,NA,NA,NA
"11","2015-10-22","6-4","lower auditorium",44,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.567179704065,39.5156494313156,NA,NA,NA
"12","2015-10-22","6-4","middle auditorium",106,1,0,0.61,0.62,0.85,0,15,25,50,10,1.1,1.5,-121.558008653464,39.5247072700004,NA,NA,NA
"13","2015-10-28","7-2","upper hatchery",17,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55395315341,39.5228725715259,NA,NA,NA
"14","2015-10-29","7-3","lower auditorium",5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.5612170132,39.4974676827575,NA,NA,NA
"15","2015-10-30","7-4","moe's side channel",87,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.545920478794,39.5159902178326,NA,NA,NA
"16","2015-11-24","11-1","top of auditorium",44,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.568329766686,39.5165706677997,NA,NA,NA
