"date","location","number_redds","number_salmon","depth_m","pot_depth_m","velocity_m_s","percent_fines","percent_small","percent_med","percent_large","percent_boulder","redd_width_m","redd_length_m","longitude","latitude","elevation_ft","accuracy_ft","boat_point"
2014-09-09,"uppercottonwood",1,1,0.62,0.7,0.89,0,65,30,5,0,2.5,3.5,-121.554167487533,39.5167465377458,NA,NA,NA
2014-09-15,"cottonwood",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.555754605939,39.5166479860515,NA,NA,NA
2014-09-15,"cottonwood",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.555728142761,39.5166299435605,NA,NA,NA
2014-09-15,"cottonwood",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.555633014321,39.5166634139557,NA,NA,NA
2014-09-15,"cottonwood",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.555653645767,39.5166956738678,NA,NA,NA
2014-09-15,"cottonwood",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.555573684839,39.5167129344822,NA,NA,NA
2014-09-15,"cottonwood",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.555508965236,39.5166913350978,NA,NA,NA
2014-09-15,"cottonwood",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.555410814789,39.5168027223085,NA,NA,NA
2014-09-15,"cottonwood",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.555352124517,39.5168135166565,NA,NA,NA
2014-09-15,"cottonwood",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.555289061973,39.5167562941697,NA,NA,NA
2014-09-15,"uppercottonwood",1,1,0.72,0.76,0.55,0,40,50,10,0,1.5,2,-121.554011002464,39.5166040710822,NA,NA,NA
2014-09-15,"uppercottonwood",1,0,0.68,0.69,0.49,0,40,60,0,0,2,2.5,-121.55388530731,39.516526237622,NA,NA,NA
2014-09-15,"uppercottonwood",1,0,0.3,0.49,0.93,0,60,20,10,10,1.3,1.9,-121.553757490409,39.5164374214622,NA,NA,NA
2014-09-15,"uppercottonwood",1,0,0.62,0.62,0.5,0,50,50,0,0,2,2.5,-121.553674376885,39.5164563624527,NA,NA,NA
2014-09-15,"uppercottonwood",1,0,0.55,0.66,1.15,10,20,20,30,20,1.5,2,-121.554207948131,39.5159744782637,NA,NA,NA
2014-09-15,"lowerauditorium",1,0,0.5,0.55,0.49,20,30,30,20,0,1,1.5,-121.559232000619,39.5156898513126,NA,NA,NA
2014-09-15,"lowerauditorium",1,1,0.55,0.62,0.77,10,20,40,30,0,1,1.5,-121.559342406256,39.5156560627418,NA,NA,NA
2014-09-15,"lowerauditorium",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.559328336201,39.5156890181505,NA,NA,NA
2014-09-15,"lowerauditorium",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55945924328,39.5156831533125,NA,NA,NA
2014-09-15,"lowerauditorium",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.55948312141,39.515693468375,NA,NA,NA
2014-09-15,"lowerauditorium",1,3,0.32,0.4,0.28,20,50,50,0,0,1,1.9,-121.559520298022,39.5157340777112,NA,NA,NA
2014-09-15,"lowerauditorium",1,0,0.29,0.45,0.66,20,30,40,10,0,1,1.5,-121.559546185225,39.5157698979639,NA,NA,NA
2014-09-15,"lowerauditorium",1,0,0.29,0.43,0.45,40,20,40,0,0,0.7,1.3,-121.559776293101,39.515752900373,NA,NA,NA
2014-09-15,"lowerauditorium",1,0,0.5,0.65,0.48,10,10,50,30,0,1,2,-121.559848097814,39.5156516976595,NA,NA,NA
2014-09-15,"lowerauditorium",1,1,0.62,0.68,0.74,20,20,20,10,30,1.6,1.8,-121.560008387503,39.5156199861382,NA,NA,NA
