year,location,surveyed,start_date,end_date
2014,bedrock,FALSE,NA,NA
2014,belowlowerauditorium,FALSE,NA,NA
2014,cottonwood,TRUE,2014-09-09,2014-09-09
2014,cottonwood,TRUE,2014-09-15,2014-09-18
2014,cottonwood,TRUE,2014-09-22,2014-09-26
2014,cottonwood,TRUE,2014-09-29,2014-10-03
2014,cottonwood,TRUE,2014-11-21,2014-11-21
2014,hatchery,TRUE,2014-09-09,2014-09-09
2014,hatchery,TRUE,2014-09-15,2014-09-18
2014,hatchery,TRUE,2014-09-22,2014-09-26
2014,hatchery,TRUE,2014-09-29,2014-10-03
2014,hatchery,TRUE,2014-10-06,2014-10-10
2014,hatchery,TRUE,2014-10-14,2014-10-17
2014,hatchery,TRUE,2014-10-20,2014-10-22
2014,hatchery,TRUE,2014-11-12,2014-11-13
2014,hatcherypipe,FALSE,NA,NA
2014,hatcherysidechannel,FALSE,NA,NA
2014,lowerauditorium,TRUE,2014-09-09,2014-09-09
2014,lowerauditorium,TRUE,2014-09-15,2014-09-18
2014,lowerauditorium,TRUE,2014-10-06,2014-10-10
2014,lowerauditorium,TRUE,2014-10-14,2014-10-17
2014,lowerauditorium,TRUE,2014-10-20,2014-10-22
2014,lowerauditorium,TRUE,2014-11-12,2014-11-13
2014,lowertablemountain,FALSE,NA,NA
2014,middleauditorium,TRUE,2014-09-09,2014-09-09
2014,middleauditorium,TRUE,2014-09-15,2014-09-18
2014,middleauditorium,TRUE,2014-09-22,2014-09-26
2014,middleauditorium,TRUE,2014-09-29,2014-10-03
2014,middleauditorium,TRUE,2014-10-06,2014-10-10
2014,middleauditorium,TRUE,2014-10-14,2014-10-17
2014,middleauditorium,TRUE,2014-10-20,2014-10-22
2014,middleauditorium,TRUE,2014-11-12,2014-11-13
2014,moessidechannel,TRUE,2014-09-09,2014-09-09
2014,moessidechannel,TRUE,2014-09-15,2014-09-18
2014,moessidechannel,TRUE,2014-09-22,2014-09-26
2014,moessidechannel,TRUE,2014-09-29,2014-10-03
2014,moessidechannel,TRUE,2014-10-06,2014-10-10
2014,moessidechannel,TRUE,2014-10-14,2014-10-17
2014,moessidechannel,TRUE,2014-10-20,2014-10-22
2014,moessidechannel,TRUE,2014-11-12,2014-11-13
2014,tablemountain,FALSE,NA,NA
2014,topofauditorium,TRUE,2014-09-09,2014-09-09
2014,topofauditorium,TRUE,2014-09-15,2014-09-18
2014,topofauditorium,TRUE,2014-09-22,2014-09-26
2014,topofauditorium,TRUE,2014-09-29,2014-10-03
2014,topofauditorium,TRUE,2014-10-06,2014-10-10
2014,topofauditorium,TRUE,2014-10-14,2014-10-17
2014,topofauditorium,TRUE,2014-10-20,2014-10-22
2014,topofauditorium,TRUE,2014-11-12,2014-11-13
2014,topofauditorium,TRUE,2014-11-21,2014-11-21
2014,topofhatchery,FALSE,NA,NA
2014,upperauditorium,TRUE,2014-09-09,2014-09-09
2014,upperauditorium,TRUE,2014-09-15,2014-09-18
2014,upperauditorium,TRUE,2014-09-22,2014-09-26
2014,upperauditorium,TRUE,2014-09-29,2014-10-03
2014,upperauditorium,TRUE,2014-10-06,2014-10-10
2014,upperauditorium,TRUE,2014-10-14,2014-10-17
2014,upperauditorium,TRUE,2014-10-20,2014-10-22
2014,upperauditorium,TRUE,2014-11-12,2014-11-13
2014,uppercottonwood,TRUE,2014-09-09,2014-09-09
2014,uppercottonwood,TRUE,2014-09-15,2014-09-18
2014,uppercottonwood,TRUE,2014-09-22,2014-09-26
2014,uppercottonwood,TRUE,2014-09-29,2014-10-03
2014,uppercottonwood,TRUE,2014-10-06,2014-10-10
2014,uppercottonwood,TRUE,2014-10-14,2014-10-17
2014,uppercottonwood,TRUE,2014-10-20,2014-10-22
2014,uppercottonwood,TRUE,2014-11-12,2014-11-13
2014,uppercottonwood,TRUE,2014-11-21,2014-11-21
2014,upperhatchery,TRUE,2014-09-09,2014-09-09
2014,upperhatchery,TRUE,2014-09-15,2014-09-18
2014,upperhatchery,TRUE,2014-09-22,2014-09-26
2014,upperhatchery,TRUE,2014-09-29,2014-10-03
2014,upperhatchery,TRUE,2014-10-06,2014-10-10
2014,upperhatchery,TRUE,2014-10-14,2014-10-17
2014,upperhatchery,TRUE,2014-10-20,2014-10-22
2014,upperhatchery,TRUE,2014-11-12,2014-11-13
2014,upperhatchery,TRUE,2014-11-21,2014-11-21
2014,belowbigholeeast,TRUE,2014-10-06,2014-10-10
2014,belowbigholeeast,TRUE,2014-11-12,2014-11-13
2014,belowbigholeeast,TRUE,2014-10-09,2014-10-09
2014,belowbigholeeast,TRUE,2014-11-07,2014-11-07
2014,bigbar,TRUE,2014-10-06,2014-10-10
2014,bigbar,TRUE,2014-11-12,2014-11-13
2014,bigbar,TRUE,2014-10-09,2014-10-09
2014,bigbar,TRUE,2014-11-07,2014-11-07
2014,bigholeeast,TRUE,2014-10-06,2014-10-10
2014,bigholeeast,TRUE,2014-11-12,2014-11-13
2014,bigholeeast,TRUE,2014-10-09,2014-10-09
2014,bigholeeast,TRUE,2014-11-07,2014-11-07
2014,bigholewest,TRUE,2014-10-06,2014-10-10
2014,bigholewest,TRUE,2014-11-12,2014-11-13
2014,bigholewest,TRUE,2014-10-09,2014-10-09
