pt_id,location,longitude,latitude,assigned_mission,resolved_by,changed_from_nearest,all_candidates
494,G95 West Bottom,-121.63092546,39.43018878,G95 West,location starts with mission name,TRUE,G95 East Top (1m) | G95 West (1m)
2159,Hatchery,-121.55461423,39.51593808,Upp Cott to Table Mtn,nearest distance,FALSE,Upp Cott to Table Mtn (0m) | Top Aud to Upp Cott (1m)
2192,Hatchery,-121.5546246,39.51590929,Top Aud to Upp Cott,nearest distance,FALSE,Top Aud to Upp Cott (0m) | Upp Cott to Table Mtn (0m)
5057,Trailer Park,-121.57966092,39.49345384,Trailer Park,exact name match,TRUE,Mathews (0m) | Trailer Park (1m)
5183,Trailer Park,-121.5796272,39.49347447,Trailer Park,exact name match,FALSE,Trailer Park (0m) | Mathews (1m)
5188,Trailer Park,-121.57951487,39.49347125,Trailer Park,exact name match,FALSE,Trailer Park (0m) | Mathews (0m)
5239,Trailer Park,-121.57943506,39.49347756,Trailer Park,exact name match,FALSE,Trailer Park (0m) | Mathews (1m)
5248,Trailer Park,-121.57968532,39.4934619,Trailer Park,exact name match,FALSE,Trailer Park (0m) | Mathews (0m)
5249,Trailer Park,-121.57955881,39.49346899,Trailer Park,exact name match,FALSE,Trailer Park (0m) | Mathews (0m)
5392,Trailer Park,-121.57965166,39.49344215,Trailer Park,exact name match,TRUE,Mathews (0m) | Trailer Park (2m)
5525,Upper Auditorium,-121.55679586,39.51586043,Top Aud to Upp Cott,nearest distance,FALSE,Top Aud to Upp Cott (0m) | Low Aud to Upp Aud (2m)
5531,Upper Auditorium,-121.5568208,39.51582117,Low Aud to Upp Aud,nearest distance,FALSE,Low Aud to Upp Aud (0m) | Top Aud to Upp Cott (2m)
5607,Upper Auditorium,-121.55679173,39.5158007,Top Aud to Upp Cott,nearest distance,FALSE,Top Aud to Upp Cott (0m) | Low Aud to Upp Aud (0m)
5821,Upper Cottonwood,-121.55445672,39.51678128,Top Aud to Upp Cott,nearest distance,FALSE,Top Aud to Upp Cott (0m) | Upp Cott to Table Mtn (2m)
5823,Upper Cottonwood,-121.55442191,39.51682272,Upp Cott to Table Mtn,nearest distance,FALSE,Upp Cott to Table Mtn (0m) | Top Aud to Upp Cott (1m)
5866,Upper Cottonwood,-121.55443651,39.51687239,Top Aud to Upp Cott,nearest distance,FALSE,Top Aud to Upp Cott (1m) | Upp Cott to Table Mtn (2m)
5867,Upper Cottonwood,-121.55445073,39.51683311,Top Aud to Upp Cott,nearest distance,FALSE,Top Aud to Upp Cott (0m) | Upp Cott to Table Mtn (1m)
