location,date,longitude,latitude,channel_location,survey_method,n_redds
Below Big,2024-10-22T00:00:00Z,-121.62443136,39.38997402,HFC,drone,1
Below Big,2024-10-22T00:00:00Z,-121.62370888,39.38978359,HFC,drone,1
Below Big,2024-10-22T00:00:00Z,-121.62372759,39.38993214,HFC,drone,1
Below Big,2024-10-22T00:00:00Z,-121.62365379,39.38999568,HFC,drone,1
Below Big,2024-10-22T00:00:00Z,-121.62359125,39.39001876,HFC,drone,1
Below Big,2024-10-22T00:00:00Z,-121.62354812,39.39001229,HFC,drone,1
Below Big,2024-10-22T00:00:00Z,-121.62347453,39.3899941,HFC,drone,1
Below Big,2024-10-22T00:00:00Z,-121.62355748,39.38989115,HFC,drone,1
Below Big,2024-10-22T00:00:00Z,-121.62346607,39.39003406,HFC,drone,1
Below Big,2024-10-22T00:00:00Z,-121.62342454,39.39033671,HFC,drone,1
Below Big,2024-10-22T00:00:00Z,-121.62415431,39.39032438,HFC,drone,1
Below Big,2024-10-22T00:00:00Z,-121.62419743,39.39033355,HFC,drone,1
Below Big,2024-11-08T00:00:00Z,-121.62365475,39.38977142,HFC,drone,1
Below Big,2024-11-08T00:00:00Z,-121.62403141,39.39040685,HFC,drone,1
Below Big,2024-11-08T00:00:00Z,-121.62368808,39.39062693,HFC,drone,1
Below Big,2024-11-08T00:00:00Z,-121.62410638,39.39019713,HFC,drone,1
Below Big,2024-11-08T00:00:00Z,-121.62362991,39.38993261,HFC,drone,1
Below Big,2025-10-23T00:00:00Z,-121.62369901,39.39056717,HFC,drone,1
Below Big,2025-10-23T00:00:00Z,-121.62335068,39.39047721,HFC,drone,1
Below Big,2025-10-23T00:00:00Z,-121.62351865,39.39025501,HFC,drone,1
Below Big,2025-10-23T00:00:00Z,-121.62354649,39.39010246,HFC,drone,1
Below Big,2025-11-10T00:00:00Z,-121.62363534,39.3899045,HFC,drone,1
Below Big,2025-11-10T00:00:00Z,-121.62346323,39.39018165,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63589705,39.43470968,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63579035,39.43473185,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63585242,39.43464775,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63580233,39.4345987,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63569934,39.43459102,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63565963,39.43465034,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63556184,39.43459022,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63575164,39.43463365,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63554398,39.43449064,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63565191000001,39.4345121,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63583314,39.43446091,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63594196,39.43454378,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63586576,39.43439101,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63577921,39.43434152,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63583628,39.43430018,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63588752,39.43423696,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.6356026,39.43446396,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.635927,39.43444776,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63571563000001,39.43419667,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.635676,39.43422524,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.6357463,39.43429297,HFC,drone,1
Below Big Hole East,2025-10-22T00:00:00Z,-121.63552789,39.43408733,HFC,drone,1
Below Big Hole East,2025-11-06T00:00:00Z,-121.63622161,39.43393308,HFC,drone,1
Below Big Hole East,2025-11-06T00:00:00Z,-121.63626891,39.43455246,HFC,drone,1
Below Big Hole East,2025-11-06T00:00:00Z,-121.63630305,39.43468468,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62207413,39.39493777,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62183623,39.39503306,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62187241,39.39495108,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.6218772,39.39487853,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62176907,39.39484782,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62171671,39.39485243,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62174934,39.39490776,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62179764,39.39497284,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62176594,39.39496951,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62166146,39.39488547,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62163491,39.39488383,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62155237,39.39489079,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62149123,39.39488732,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62145954,39.39488061,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62138791,39.39487135,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62127501,39.39483663,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62132946,39.39486574,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62136641,39.39474269,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.62160989,39.39492641,HFC,drone,1
Big,2025-10-23T00:00:00Z,-121.6213315,39.39472294,HFC,drone,1
