location,mission_group,channel_location,mission_label,date,redd_total
Table Mountain,Upper Cottonwood to Table Mountain,LFC,#1,2025-09-04,0
Lower Table Mountain,Upper Cottonwood to Table Mountain,LFC,#1,2025-09-04,4
Hatchery Pipe,Upper Cottonwood to Table Mountain,LFC,#1,2025-09-04,0
Upper Cottonwood,Upper Cottonwood to Table Mountain,LFC,#1,2025-09-04,0
Upper Hatchery,Upper Cottonwood to Table Mountain,LFC,#1,2025-09-04,0
Upper Cottonwood to Table Mountain-hatchery,Upper Cottonwood to Table Mountain,LFC,#1,2025-09-04,0
Cottonwood,Top of Auditorium to Upper Cottonwood,LFC,#1,2025-09-03,0
Top of Auditorium,Top of Auditorium to Upper Cottonwood,LFC,#1,2025-09-03,3
Top of Auditorium to Upper Cottonwood-hatchery,Top of Auditorium to Upper Cottonwood,LFC,#1,2025-09-03,0
Upper Auditorium,Lower Auditorium to Upper Auditorium,LFC,#1,2025-09-03,0
Middle Auditorium,Lower Auditorium to Upper Auditorium,LFC,#1,2025-09-03,0
Lower Auditorium,Lower Auditorium to Upper Auditorium,LFC,#1,2025-09-03,3
Bedrock,Lower Auditorium to Upper Auditorium,LFC,#1,2025-09-03,0
Table Mountain,Upper Cottonwood to Table Mountain,LFC,#2,2025-09-09,3
Lower Table Mountain,Upper Cottonwood to Table Mountain,LFC,#2,2025-09-09,0
Hatchery Pipe,Upper Cottonwood to Table Mountain,LFC,#2,2025-09-09,0
Upper Cottonwood,Upper Cottonwood to Table Mountain,LFC,#2,2025-09-09,11
Upper Hatchery,Upper Cottonwood to Table Mountain,LFC,#2,2025-09-09,4
Upper Cottonwood to Table Mountain-hatchery,Upper Cottonwood to Table Mountain,LFC,#2,2025-09-09,2
Cottonwood,Top of Auditorium to Upper Cottonwood,LFC,#2,2025-09-09,9
Top of Auditorium,Top of Auditorium to Upper Cottonwood,LFC,#2,2025-09-09,11
Top of Auditorium to Upper Cottonwood-hatchery,Top of Auditorium to Upper Cottonwood,LFC,#2,2025-09-09,0
Upper Auditorium,Lower Auditorium to Upper Auditorium,LFC,#2,2025-09-09,15
Middle Auditorium,Lower Auditorium to Upper Auditorium,LFC,#2,2025-09-09,0
Lower Auditorium,Lower Auditorium to Upper Auditorium,LFC,#2,2025-09-09,12
Bedrock,Lower Auditorium to Upper Auditorium,LFC,#2,2025-09-09,5
Trailer Park,Lower Auditorium to Upper Auditorium,LFC,#2,2025-09-10,20
Mathews,Lower Auditorium to Upper Auditorium,LFC,#2,2025-09-10,0
Aleck,Lower Auditorium to Upper Auditorium,LFC,#2,2025-09-10,0
Upper Robinson,Lower Auditorium to Upper Auditorium,LFC,#2,2025-09-10,0
Lower Robinson,Lower Auditorium to Upper Auditorium,LFC,#2,2025-09-10,0
Steep,"Steep, Weir",LFC,#2,2025-09-11,0
Weir,"Steep, Weir",LFC,#2,2025-09-11,2
