location,date,year,latitude,longitude,survey_method,redd_number,survey_week,number_of_fish_on_redd,percent_boulder_30cm,percent_large_16_30cm,percent_medium_6_15cm,percent_small_1_5cm,percent_fine_1cm,redd_width_m,redd_length_m,velocity_m_sec,water_depth_m
Moe's Side Channel,2024-09-19,2024,39.51578622,-121.55950973,ground,1,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,70,30,NA,0.98,2,0.57,0.18
Moe's Side Channel,2024-09-19,2024,39.51607467,-121.55742303,ground,31,"LL, SJ - 9/19/2024 - Clear - Week 1-1",3,NA,10,50,40,NA,2,2.2,0.406,0.46
Moe's Side Channel,2024-09-19,2024,39.51606953,-121.55810648,ground,30,"LL, SJ - 9/19/2024 - Clear - Week 1-1",3,NA,NA,30,60,10,2,2,0.503,0.36
Moe's Side Channel,2024-09-19,2024,39.51606612,-121.55831433,ground,29,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,NA,NA,70,30,NA,1.4,2.4,0.668,0.2
Moe's Side Channel,2024-09-19,2024,39.51604328,-121.5586007,ground,28,"LL, SJ - 9/19/2024 - Clear - Week 1-1",4,5,NA,55,40,NA,2.3,2,0.228,0.34
Moe's Side Channel,2024-09-19,2024,39.51604059,-121.55864722,ground,27,"LL, SJ - 9/19/2024 - Clear - Week 1-1",NA,NA,10,50,40,NA,2,1.4,0.396,0.34
Moe's Side Channel,2024-09-19,2024,39.51603318,-121.55876211,ground,26,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,5,55,40,NA,1.4,2,0.312,0.34
Moe's Side Channel,2024-09-19,2024,39.51600557,-121.5588778,ground,25,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,NA,NA,40,50,10,1.3,2.4,0.354,0.14
Moe's Side Channel,2024-09-19,2024,39.51602527,-121.55890892,ground,24,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,NA,NA,40,40,20,1,1.2,0.406,0.4
Moe's Side Channel,2024-09-19,2024,39.51600874,-121.55909263,ground,23,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,NA,NA,30,70,NA,1.2,1.4,0.281,0.34
Moe's Side Channel,2024-09-19,2024,39.51597526,-121.55908114,ground,22,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,10,40,40,10,1.2,1.2,0.248,0.3
Moe's Side Channel,2024-09-19,2024,39.51598172,-121.5591183,ground,21,"LL, SJ - 9/19/2024 - Clear - Week 1-1",2,NA,5,40,50,5,1,1.2,0.41,0.3
Moe's Side Channel,2024-09-19,2024,39.51597692,-121.55924261,ground,20,"LL, SJ - 9/19/2024 - Clear - Week 1-1",7,NA,NA,60,40,NA,3.1,3,0.698,0.26
Moe's Side Channel,2024-09-19,2024,39.51594111,-121.55928706,ground,19,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,40,60,NA,0.82,2,0.407,0.26
Moe's Side Channel,2024-09-19,2024,39.51596397,-121.55929938,ground,18,"LL, SJ - 9/19/2024 - Clear - Week 1-1",1,NA,NA,70,30,NA,0.8,1.3,0.353,0.2
