location,n_rows,sources,river_mile_site,river_mile,river_mile_site_id,match_method
Yuba City Boat Ramp,2204,1997-2001,Yuba City,28,34000,manual_crosswalk
Live Oak Boat Ramp,2203,1997-2001,Live Oak,41.5,29000,manual_crosswalk
Star Bend Across from Ramp RR,1731,2015-2025,Star Bend,18,37000,exact_subsite_table
Bedrock Park RL,1723,"2008-2014, 2015-2025",Bedrock Riffle,65.8,2000,exact_subsite_table
Hatchery Ditch,1677,"2008-2014, 2015-2025",Hatchery Ditch/Riffle,66.5,1100,exact_subsite_table
Boyd Pump Boat Ramp,1629,1997-2001,Boyds,22,36000,manual_crosswalk
Riverbend Park Beach RL,1486,2015-2025,Riverbend,65.1,3000,exact_subsite_table
Thermalito Boat Ramp,1310,1997-2001,Thermalito Outlet,59,14000,manual_crosswalk
G95 (Bar Complex btwn Big Hole Isl/Hour Riffle),1304,1997-2001,G95,57,16000,manual_crosswalk
Montgomery Street (River Bend Park),1275,1997-2001,Riverbend,65.1,3000,manual_crosswalk
Bedrock Park,1185,1997-2001,Bedrock Riffle,65.8,2000,manual_crosswalk
Gridley Boat Ramp,1111,1997-2001,Gridley,50,24000,manual_crosswalk
Aleck RR,1047,2015-2025,Aleck Riffle,63.5,6000,exact_subsite_table
Bedrock Park Backwater,1035,"2008-2014, 2015-2025",Bedrock Riffle,65.8,2000,exact_subsite_table
McFarland Main - RR,995,"2008-2014, 2015-2025",McFarland,52,22000,exact_subsite_table
Sean's Beach RR,992,2015-2025,Shawn's Beach,37,31000,exact_subsite_table
Live Oak Upstream Boat Launch,951,"2008-2014, 2015-2025",Live Oak,41.5,29000,exact_subsite_table
Shanghai Above RR,804,2015-2025,Shanghai,25,35000,exact_subsite_table
Kiester,802,"2008-2014, 2015-2025",Kiester,55,19000,exact_river_miles_site_name
Herringer Main RL,802,2015-2025,Herringer,45,27000,exact_subsite_table
1/4 Mile Downstream of Yuba City Boat Ramp,771,1997-2001,Yuba City,28,34000,manual_crosswalk
Gridley-Side,764,"2008-2014, 2015-2025",Gridley,50,24000,exact_subsite_table
Gateway RR,760,2015-2025,Gateway,58.8,13000,exact_subsite_table
Robinson Riffle RL,738,2015-2025,Robinson,62,9000,exact_subsite_table
HATCHERY DITCH,731,1997-2001,Hatchery Ditch/Riffle,66.5,1100,normalized_subsite_table
1/4 Mile Upstream of Live Oak Boat Ramp,700,1997-2001,Live Oak,41.5,29000,manual_crosswalk
Boyds Bump Boat Launch- Across,681,"2008-2014, 2015-2025",Boyds,22,36000,manual_crosswalk
Upstream G95 RL,675,2015-2025,G95,57,16000,exact_subsite_table
Yuba City Train Bridge Upstream RL,643,2015-2025,Yuba City,28,34000,exact_subsite_table
