date,sample_shape
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
1999-06-17,sweep seine technique
