location_table_id,date,location,water_temp,weather,river_mile,flow,number_of_divers,reach_length,reach_width,channel_width,channel_type,longitude,latitude,channel_location,coordinate_method
11,2001-03-14,hatchery ditch,47,direct sunlight,66.6,12,3,25,4,7,sidechannel,-121.558817,39.516017,LFC,assigned based on similar location
12,2001-03-15,hour bars,56,overcast,56,1700,2,25,4,160,mainchannel branch,-121.626667,39.415833,HFC,assigned based on similar location
13,2001-08-20,hatchery riffle,57,direct sunlight,66.5,600,2,25,4,0,mainchannel,-121.553533,39.515833,LFC,reported in database
14,2001-08-20,hatchery ditch,55,direct sunlight,66.6,600,2,25,4,0,sidechannel,-121.553583,39.515867,LFC,reported in database
15,2001-08-20,trailer park,58,direct sunlight,64,600,2,25,4,0,mainchannel,-121.580017,39.494033,LFC,reported in database
16,2001-08-20,bedrock riffle,58,direct sunlight,65.5,600,2,25,4,0,mainchannel,-121.56815,39.51305,LFC,reported in database
17,2001-08-20,steep riffle,63.5,direct sunlight,61,600,2,25,4,17,mainchannel,-121.604383,39.462633,LFC,reported in database
18,2001-08-20,robinson riffle,59.5,direct sunlight,61.5,600,2,25,4,14,sidechannel,-121.597617,39.464917,LFC,reported in database
19,2001-08-20,steep riffle,62.5,direct sunlight,61,600,2,25,4,8,sidechannel,-121.60335,39.462583,LFC,reported in database
20,2001-08-20,robinson riffle,61,direct sunlight,61.5,600,2,25,4,31,mainchannel,-121.5987,39.466317,LFC,reported in database
21,2001-07-16,upper big hole,67.5,direct sunlight,58.3,1900,2,25,4,50,mainchannel branch,-121.637333,39.4384,HFC,assigned based on similar location
22,2001-07-16,lower big hole,68,direct sunlight,58,1900,2,25,4,50,mainchannel,-121.638,39.437333,HFC,assigned based on similar location
23,2001-07-16,g95,68,direct sunlight,57,900,2,25,4,39,sidechannel,-121.631033,39.43085,HFC,assigned based on similar location
24,2001-07-16,g95,72,direct sunlight,57,900,2,25,4,45,mainchannel branch,-121.626167,39.429167,HFC,assigned based on similar location
25,2001-07-17,lower big hole,68,direct sunlight,56,1900,2,25,4,43,mainchannel branch,-121.638,39.437333,HFC,assigned based on similar location
26,2001-07-17,hour bars,68,direct sunlight,56,1900,2,25,4,50,mainchannel branch,-121.626667,39.415833,HFC,assigned based on similar location
27,2001-07-17,gridley riffle,68,direct sunlight,49.5,1900,2,25,4,0,mainchannel,-121.630583,39.354117,HFC,assigned based on similar location
28,2001-07-17,big bar,69,direct sunlight,52.5,1900,2,25,4,55,mainchannel,-121.6287,39.385917,HFC,reported in database
29,2001-07-17,goose riffle,68,direct sunlight,54.5,1900,2,25,4,71,mainchannel,-121.61715,39.405667,HFC,reported in database
30,2001-07-17,macfarland riffle,68,direct sunlight,52.5,1900,2,25,4,75,mainchannel,-121.632333,39.375,HFC,assigned based on similar location
31,2001-07-18,shallow riffle,72,direct sunlight,47,1900,2,25,4,42,sidechannel,-121.630683,39.329283,HFC,reported in database
32,2001-07-18,herringer riffle,74,direct sunlight,46,1900,2,25,4,32,sidechannel,-121.623233,39.3176,HFC,reported in database
33,2001-07-18,junkyard riffle,68,direct sunlight,48.5,1900,2,25,4,48,mainchannel,-121.626233,39.34555,HFC,reported in database
34,2001-07-10,hatchery riffle,60,direct sunlight,66,600,3,25,4,28,mainchannel branch,-121.554667,39.515667,LFC,assigned based on similar location
35,2001-07-10,auditorium riffle,57,direct sunlight,66,600,2,25,4,32,mainchannel branch,-121.56,39.5151,LFC,assigned based on similar location
36,2001-07-10,hatchery ditch,59,direct sunlight,66.5,600,2,25,4,9,sidechannel,-121.558817,39.516017,LFC,reported in database
37,2001-07-11,trailer park,59,direct sunlight,64,600,4,25,4,57,mainchannel,-121.579417,39.494667,LFC,reported in database
38,2001-07-11,robinson riffle,63,direct sunlight,61.5,600,3,25,4,34,mainchannel,-121.59865,39.466383,LFC,reported in database
39,2001-07-11,robinson riffle,63,direct sunlight,61,600,3,25,4,16,sidechannel,-121.597617,39.464917,LFC,reported in database
40,2001-07-12,bedrock riffle,58,direct sunlight,66,600,2,25,4,51,mainchannel,-121.568139,39.513056,LFC,assigned based on similar location
41,2001-07-12,eye side channel,63,direct sunlight,60.1,600,2,25,4,21,sidechannel,-121.613133,39.457533,LFC,assigned based on similar location
42,2001-07-12,matthews riffle,60.5,direct sunlight,64,600,2,25,4,42,mainchannel,-121.5790352595597,39.49157966172107,LFC,assigned based on similar location
43,2001-07-12,eye riffle,62,direct sunlight,60,600,2,25,4,25,mainchannel,-121.6139,39.45725,LFC,assigned based on similar location
44,2001-07-12,steep riffle,61,direct sunlight,61,600,2,25,4,20,sidechannel,-121.6039,39.463567,LFC,reported in database
45,2001-07-12,steep riffle,62,direct sunlight,61,600,2,25,4,0,mainchannel,-121.604383,39.462633,LFC,assigned based on similar location
46,2001-06-19,lower hour,68,direct sunlight,56,1900,2,25,4,20,mainchannel branch,-121.62566700000001,39.420667,HFC,reported in database
47,2001-06-19,lower hour,69,direct sunlight,56,1900,2,25,4,65,sidechannel,-121.625467,39.417667,HFC,assigned based on similar location
48,2001-06-19,goose riffle,69,direct sunlight,54.5,1900,2,25,4,0,mainchannel,-121.616267,39.405317,HFC,reported in database
49,2001-06-19,big bar,72,direct sunlight,53.5,1900,2,25,4,0,mainchannel,-121.6287,39.385917,HFC,reported in database
50,2001-06-19,gridley riffle,69,direct sunlight,49.5,1900,2,25,4,45,mainchannel branch,-121.630583,39.354117,HFC,reported in database
51,2001-06-19,junkyard riffle,70,direct sunlight,48.5,1900,2,25,4,47,mainchannel,-121.626267,39.345633,HFC,reported in database
52,2001-06-19,shallow riffle,73,direct sunlight,47,1900,2,25,4,33,sidechannel,-121.628667,39.329417,HFC,reported in database
53,2001-06-11,hatchery ditch,53,direct sunlight,66.5,0,2,25,4,8,sidechannel,-121.558817,39.516017,LFC,assigned based on similar location
54,2001-06-11,hatchery riffle,56,overcast,66.5,600,2,25,4,0,mainchannel,-121.554667,39.515667,LFC,assigned based on similar location
